scope,model,macro_f1,macro_f1_seed_std
s5_severe_r1,sidecar,0.2534324780844816,0.02028284245322502
s5_severe_r1,A5,0.21126199793250705,0.013551670491269216
s5_severe_r1,IQFormer,0.238166177526572,0.039163015636672883
s5_severe_r1,MCLDNN,0.3397632545537884,0.020981967480891858
s5_severe_r2,sidecar,0.24831921883652913,0.019933626709136596
s5_severe_r2,A5,0.2030803071316373,0.013460640139099898
s5_severe_r2,IQFormer,0.22771404359580222,0.03769112736339174
s5_severe_r2,MCLDNN,0.3351981869424241,0.02137610321042949
pooled,sidecar,0.25087584846050537,0.019936617251497455
pooled,A5,0.20717115253207216,0.013325189495498812
pooled,IQFormer,0.2329401105611871,0.03828096672902345
pooled,MCLDNN,0.33748072074810626,0.020831250225772417
