scope,condition,n_seeds,macro_f1,macro_f1_seed_std
s5_severe_r1,A5,10,0.21126199793250705,0.013551670491269216
s5_severe_r2,A5,10,0.2030803071316373,0.013460640139099898
pooled,A5,10,0.20717115253207216,0.013325189495498812
s5_severe_r1,M,5,0.22083396275811942,0.014083199174974867
s5_severe_r2,M,5,0.21447791495741972,0.016169978691310056
pooled,M,5,0.21765593885776954,0.015068660311701582
s5_severe_r1,L,5,0.21423627358277236,0.028971073285238166
s5_severe_r2,L,5,0.20361191922890237,0.028653555313579996
pooled,L,5,0.20892409640583734,0.028796937906435147
s5_severe_r1,S,10,0.2534324780844816,0.02028284245322502
s5_severe_r2,S,10,0.24831921883652913,0.019933626709136596
pooled,S,10,0.25087584846050537,0.019936617251497455
s5_severe_r1,sidecar_iq_zero,10,0.12957610404847372,0.03357664536604263
s5_severe_r2,sidecar_iq_zero,10,0.12651046494764795,0.03383290197531032
pooled,sidecar_iq_zero,10,0.12804328449806085,0.03364354897682569
s5_severe_r1,sidecar_iq_shuffle,10,0.16607947634672848,0.015429503632392516
s5_severe_r2,sidecar_iq_shuffle,10,0.15884356174422148,0.015614672900240753
pooled,sidecar_iq_shuffle,10,0.16246151904547498,0.015402908883467443
s5_severe_r1,sidecar_no_side_head,10,0.06990742363283617,0.023595170547212968
s5_severe_r2,sidecar_no_side_head,10,0.07195446268252861,0.023211939671383585
pooled,sidecar_no_side_head,10,0.07093094315768239,0.023320298434611864
