scope,model,severe_held_macro_f1,campaign_hard_sir_minus15_macro_f1,drift_pp
s5_severe_r1,A5,0.21126199793250705,0.353,-14.173800206749293
s5_severe_r2,A5,0.2030803071316373,0.353,-14.991969286836268
pooled,A5,0.20717115253207216,0.353,-14.582884746792782
s5_severe_r1,IQFormer,0.238166177526572,0.262,-2.3833822473428024
s5_severe_r2,IQFormer,0.22771404359580222,0.262,-3.428595640419779
pooled,IQFormer,0.2329401105611871,0.262,-2.9059889438812907
s5_severe_r1,MCLDNN,0.3397632545537884,0.255,8.476325455378841
s5_severe_r2,MCLDNN,0.3351981869424241,0.255,8.019818694242408
pooled,MCLDNN,0.33748072074810626,0.255,8.248072074810626
s5_severe_r1,sidecar,0.2534324780844816,,
s5_severe_r2,sidecar,0.24831921883652913,,
pooled,sidecar,0.25087584846050537,,
