split,reference,reference_short,class_index,modulation,delta_f1_mean,delta_f1_seed_ci_low,delta_f1_seed_ci_high,share_of_macro_deficit
clean_retention,cssl_amc_supervised_adaptation,CSSL,0,BPSK,0.02350768955456225,0.0029516668521465984,0.0440637122569779,-0.024251392293836313
clean_retention,cssl_amc_supervised_adaptation,CSSL,1,PI2BPSK,-0.005600538401553135,-0.02312354616414622,0.011922469361039951,0.005777720244157326
clean_retention,cssl_amc_supervised_adaptation,CSSL,2,QPSK,-0.6038806402246165,-0.6150564790411203,-0.5927048014081128,0.6229853542496688
clean_retention,cssl_amc_supervised_adaptation,CSSL,3,8PSK,-0.22396092411828633,-0.23395491893904255,-0.2139669292975301,0.2310462802682613
clean_retention,cssl_amc_supervised_adaptation,CSSL,4,16QAM,-0.1943725482636641,-0.20952212797224387,-0.17922296855508432,0.2005218295976654
clean_retention,cssl_amc_supervised_adaptation,CSSL,5,64QAM,-0.20523895875139697,-0.22220281312880028,-0.18827510437399367,0.2117320160752524
clean_retention,cssl_amc_supervised_adaptation,CSSL,6,256QAM,0.05595684158490664,0.04019490256802878,0.0717187806017845,-0.057727124294793083
clean_retention,cssl_amc_supervised_adaptation,CSSL,7,GMSK,0.08378991248733667,0.0744427376791534,0.09313708729551994,-0.08644073817974388
clean_retention,cssl_amc_supervised_adaptation,CSSL,8,CPFSK,0.025740805355884733,0.01352632952463903,0.03795528118713044,-0.02655515622647366
clean_retention,cssl_amc_supervised_adaptation,CSSL,9,4FSK,0.07472475428789482,0.0626922564936965,0.08675725208209314,-0.07708878944015858
clean_retention,a0_backbone,A0,0,BPSK,0.043479709322045854,0.03605665724765082,0.050902761396440885,0.1451271556472238
clean_retention,a0_backbone,A0,1,PI2BPSK,0.0448991436667293,0.02482688017599058,0.06497140715746802,0.14986496259864795
clean_retention,a0_backbone,A0,2,QPSK,0.0024791752630735956,-0.002686521602168667,0.007644872128315858,0.008275024370928781
clean_retention,a0_backbone,A0,3,8PSK,0.06976841030379607,0.04979903809824192,0.08973778250935023,0.23287393359560665
clean_retention,a0_backbone,A0,4,16QAM,0.008928514601361081,0.0016928452320879427,0.016164183970634217,0.029801715523273653
clean_retention,a0_backbone,A0,5,64QAM,0.0023445210874644103,-0.0023549626335107356,0.007044004808439556,0.007825573861555796
clean_retention,a0_backbone,A0,6,256QAM,0.05349093098796491,0.037405625139100174,0.06957623683682965,0.17854274530002812
clean_retention,a0_backbone,A0,7,GMSK,0.0056505236339377315,-0.0005748780467537797,0.011875925314629242,0.018860393404125275
clean_retention,a0_backbone,A0,8,CPFSK,0.02848582619882294,0.013390400477360493,0.043581251920285384,0.09508037190120346
clean_retention,a0_backbone,A0,9,4FSK,0.04007058168504438,0.027168748932149017,0.05297241443793975,0.13374812379740636
clean_retention,iqformer_inspired,IQFormer,0,BPSK,-0.04411370682314179,-0.0638584840086966,-0.024368929637586977,0.02304946397960499
clean_retention,iqformer_inspired,IQFormer,1,PI2BPSK,-0.08223673722855847,-0.10204881944357459,-0.06242465501354234,0.04296879244696626
clean_retention,iqformer_inspired,IQFormer,2,QPSK,-0.7376939340130712,-0.7457508161250344,-0.729637051901108,0.3854459528458278
clean_retention,iqformer_inspired,IQFormer,3,8PSK,-0.28105941203933665,-0.3122968272803089,-0.2498219967983644,0.14685387514365908
clean_retention,iqformer_inspired,IQFormer,4,16QAM,-0.5263220627173147,-0.5699473687375056,-0.48269675669712386,0.2750039001462933
clean_retention,iqformer_inspired,IQFormer,5,64QAM,-0.027188257931579883,-0.04598570527274162,-0.00839081059041814,0.014205896919399441
clean_retention,iqformer_inspired,IQFormer,6,256QAM,-0.12764344247406542,-0.14615670430691197,-0.10913018064121888,0.06669384963122929
clean_retention,iqformer_inspired,IQFormer,7,GMSK,-0.0007141586970327296,-0.006484014945839257,0.005055697551773798,0.00037314876369315224
clean_retention,iqformer_inspired,IQFormer,8,CPFSK,-0.04910872586585836,-0.06380502265492036,-0.03441242907679636,0.02565936733604065
clean_retention,iqformer_inspired,IQFormer,9,4FSK,-0.03779082889872465,-0.04692955635648314,-0.02865210144096616,0.019745752787285988
