split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a5_vimd_full,a5_vimd_full,0.5105678226843319,0.511565037257023,exploratory_tier2_outside_frozen_family,0.0009972145726911963,-0.0051817514758572885,0.007050574047276264,0.00596341036564963,0.00036000000000000474,-0.00804,0.008400999999999987,10000,20260812,5000,5
hard_interference,a5_vimd_full,a5_vimd_full,0.45538453684050084,0.46776004487059025,exploratory_tier2_outside_frozen_family,0.012375508030089332,0.003117834809958551,0.02368390668216705,0.01083834227395178,0.01095999999999998,-0.0006000000000000001,0.026080000000000002,10000,20260812,5000,5
hard_interference_sir_minus15,a5_vimd_full,a5_vimd_full,0.38443168983173914,0.4030217800924918,exploratory_tier2_outside_frozen_family,0.01859009026075269,-0.004366908630038089,0.041865596653731046,0.024987495381798,0.016299918500407497,-0.008312958435207823,0.043683781581092096,10000,20260812,1227,5
id_test,a5_vimd_full,a5_vimd_full,0.5839846173064581,0.5881225933065888,exploratory_tier2_outside_frozen_family,0.004137976000130661,-0.006069331173530942,0.014516704500186061,0.00984945349183974,0.0036399999999999766,-0.00648,0.013919999999999998,10000,20260812,5000,5
unseen_jammer,a5_vimd_full,a5_vimd_full,0.46228659698849334,0.46602720873727277,exploratory_tier2_outside_frozen_family,0.00374061174877941,-0.005848811491919615,0.014045091200919037,0.009650142540250378,-0.0006000000000000005,-0.010480999999999999,0.00872,10000,20260812,5000,5
unseen_speed,a5_vimd_full,a5_vimd_full,0.5071404418104779,0.509788183631423,exploratory_tier2_outside_frozen_family,0.00264774182094496,-0.005364396205255505,0.01011028199320152,0.00614442906802244,0.0020400000000000197,-0.00704,0.01064,10000,20260812,5000,5
heldout_channel,a5_vimd_full,a5_vimd_full,0.5098665379880227,0.5152801463639995,exploratory_tier2_outside_frozen_family,0.005413608375976852,-0.0028895229581877573,0.013514959154081522,0.006693968708465642,0.004720000000000013,-0.00524,0.014479999999999998,10000,20260812,5000,5
combined_ood,a5_vimd_full,a5_vimd_full,0.46216049879784704,0.46524835009001775,exploratory_tier2_outside_frozen_family,0.0030878512921707624,-0.006268499870888428,0.012659867778425756,0.00882387020985827,-0.0012799999999999923,-0.00976,0.006999999999999999,10000,20260812,5000,5
adc_10bit_agc,a5_vimd_full,a5_vimd_full,0.46864116630277064,0.4786949866228574,exploratory_tier2_outside_frozen_family,0.010053820320086827,-0.0038117136260771563,0.02543866021354415,0.016776911187083934,0.009520000000000018,-0.006480999999999999,0.028839999999999998,10000,20260812,5000,5
adc_12bit_agc,a5_vimd_full,a5_vimd_full,0.46331296165011915,0.47280008217739694,exploratory_tier2_outside_frozen_family,0.009487120527277737,0.0008920948687319107,0.01848245108142763,0.00842448632328515,0.009159999999999991,-0.0015609999999999997,0.02176,10000,20260812,5000,5
per_emitter_sync,a5_vimd_full,a5_vimd_full,0.4569686636134329,0.46581793194929516,exploratory_tier2_outside_frozen_family,0.008849268335862193,-0.003821089460837944,0.022270276305320975,0.014925648992149853,0.00848000000000001,-0.00716,0.02572,10000,20260812,5000,5
