split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a5_vimd_full,a5_vimd_full,0.49957493417356114,0.511565037257023,exploratory_tier2_outside_frozen_family,0.011990103083461934,0.006310195840173158,0.0181859594461012,0.004999468719937076,0.015599999999999992,0.009159,0.02256,10000,20260812,5000,5
hard_interference,a5_vimd_full,a5_vimd_full,0.4359411703132182,0.46776004487059025,exploratory_tier2_outside_frozen_family,0.031818874557372034,0.0243842125744669,0.03964164148032945,0.004423498618775229,0.03419999999999999,0.02504,0.04384,10000,20260812,5000,5
hard_interference_sir_minus15,a5_vimd_full,a5_vimd_full,0.3534232902765385,0.4030217800924918,exploratory_tier2_outside_frozen_family,0.04959848981595335,0.034764939043105916,0.0648165998622422,0.006960600458773833,0.05150774246128771,0.034555827220863894,0.06878565607171964,10000,20260812,1227,5
id_test,a5_vimd_full,a5_vimd_full,0.5633190142589516,0.5881225933065888,exploratory_tier2_outside_frozen_family,0.024803579047637102,0.013789693291776609,0.035915137914068196,0.010562969135070382,0.023399999999999976,0.014599999999999998,0.03208099999999999,10000,20260812,5000,5
unseen_jammer,a5_vimd_full,a5_vimd_full,0.4560540480915664,0.46602720873727277,exploratory_tier2_outside_frozen_family,0.009973160645706258,-0.0018105210707501803,0.02122557049044865,0.011388395661803358,0.007999999999999997,-0.0013610000000000002,0.01692,10000,20260812,5000,5
unseen_speed,a5_vimd_full,a5_vimd_full,0.4874598832461679,0.509788183631423,exploratory_tier2_outside_frozen_family,0.022328300385254973,0.015332664958935436,0.02941657805152158,0.0031387936656089165,0.02275999999999998,0.0154,0.0304,10000,20260812,5000,5
heldout_channel,a5_vimd_full,a5_vimd_full,0.48755219630644386,0.5152801463639995,exploratory_tier2_outside_frozen_family,0.02772795005755565,0.020443998079540674,0.03515866593577176,0.0032297278507663553,0.028400000000000016,0.020760000000000004,0.036559999999999995,10000,20260812,5000,5
combined_ood,a5_vimd_full,a5_vimd_full,0.45014180801381637,0.46524835009001775,exploratory_tier2_outside_frozen_family,0.015106542076201412,0.002826354357344015,0.02661759367734733,0.011950583159466259,0.013080000000000003,0.0038000000000000004,0.02196,10000,20260812,5000,5
adc_10bit_agc,a5_vimd_full,a5_vimd_full,0.44173538269363927,0.4786949866228574,exploratory_tier2_outside_frozen_family,0.0369596039292181,0.027976493998002488,0.04644892286172134,0.00801270338938627,0.04028000000000002,0.02984,0.051841,10000,20260812,5000,5
adc_12bit_agc,a5_vimd_full,a5_vimd_full,0.4409981735404391,0.47280008217739694,exploratory_tier2_outside_frozen_family,0.03180190863695785,0.022499593979659855,0.04169576884412247,0.008542812180780785,0.03595999999999998,0.02476,0.04732,10000,20260812,5000,5
per_emitter_sync,a5_vimd_full,a5_vimd_full,0.4323491108426875,0.46581793194929516,exploratory_tier2_outside_frozen_family,0.033468821106607594,0.02646100986525551,0.04046446761884343,0.003378935455234201,0.03580000000000001,0.027960000000000002,0.04376,10000,20260812,5000,5
