split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,iqformer_inspired,a5_vimd_full,0.692976795808763,0.511565037257023,exploratory_tier2_outside_frozen_family,-0.18141175855174008,-0.1934197144965614,-0.16997729379885385,0.010673179761110785,-0.14351999999999998,-0.1544,-0.13308,10000,20260812,5000,5
hard_interference,iqformer_inspired,a5_vimd_full,0.4961375159018795,0.46776004487059025,exploratory_tier2_outside_frozen_family,-0.028377471031289226,-0.0430306186840269,-0.013076021380084155,0.013734382214916225,-0.002440000000000031,-0.0182,0.014240999999999983,10000,20260812,5000,5
hard_interference_sir_minus15,iqformer_inspired,a5_vimd_full,0.2622730603562069,0.4030217800924918,exploratory_tier2_outside_frozen_family,0.14074871973628494,0.09552872916980519,0.18506679830005715,0.05033573159106479,0.16169519152404238,0.12273838630806846,0.2006519967400163,10000,20260812,1227,5
id_test,iqformer_inspired,a5_vimd_full,0.6960969835428461,0.5881225933065888,exploratory_tier2_outside_frozen_family,-0.10797439023625739,-0.12088920070895752,-0.09499478192905936,0.009018979030787426,-0.10080000000000004,-0.11300100000000002,-0.0886,10000,20260812,5000,5
unseen_jammer,iqformer_inspired,a5_vimd_full,0.6117595994975685,0.46602720873727277,exploratory_tier2_outside_frozen_family,-0.14573239076029582,-0.15832832725418358,-0.13230251321710385,0.010539881863323934,-0.14492,-0.15651999999999996,-0.13319999999999999,10000,20260812,5000,5
unseen_speed,iqformer_inspired,a5_vimd_full,0.626240129993161,0.509788183631423,exploratory_tier2_outside_frozen_family,-0.11645194636173825,-0.12739459729170774,-0.10541263933281579,0.003577993510432907,-0.10228000000000004,-0.1132,-0.0916,10000,20260812,5000,5
heldout_channel,iqformer_inspired,a5_vimd_full,0.6132592864561504,0.5152801463639995,exploratory_tier2_outside_frozen_family,-0.09797914009215077,-0.11074193883516308,-0.0848326883804197,0.010134603088107184,-0.08515999999999999,-0.09716,-0.073,10000,20260812,5000,5
combined_ood,iqformer_inspired,a5_vimd_full,0.6214492597311392,0.46524835009001775,exploratory_tier2_outside_frozen_family,-0.15620090964112127,-0.16783329089864957,-0.14476189359268624,0.00727935365562345,-0.15524,-0.16591999999999998,-0.14484000000000002,10000,20260812,5000,5
adc_10bit_agc,iqformer_inspired,a5_vimd_full,0.5038172817797947,0.4786949866228574,exploratory_tier2_outside_frozen_family,-0.025122295156937258,-0.042809011363936694,-0.004911615883057379,0.020209205308976175,0.0019999999999999905,-0.016841,0.02328,10000,20260812,5000,5
adc_12bit_agc,iqformer_inspired,a5_vimd_full,0.4968494929848841,0.47280008217739694,exploratory_tier2_outside_frozen_family,-0.024049410807487237,-0.040326583946404995,-0.007467105284299239,0.01592926257455481,0.0040800000000000055,-0.013319999999999999,0.022399999999999996,10000,20260812,5000,5
per_emitter_sync,iqformer_inspired,a5_vimd_full,0.4981719896360836,0.46581793194929516,exploratory_tier2_outside_frozen_family,-0.032354057686788416,-0.04980037988431223,-0.014064260598243625,0.01826097921476612,-0.0066399999999999905,-0.025079999999999998,0.0128,10000,20260812,5000,5
