split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a5_vimd_full,a5_vimd_full,0.49957493417356114,0.5105678226843319,exploratory_tier2_outside_frozen_family,0.010992888510770737,0.0044394283910513055,0.0174340217513527,0.006454031203904637,0.015239999999999986,0.0068000000000000005,0.02392,10000,20260812,5000,5
hard_interference,a5_vimd_full,a5_vimd_full,0.4359411703132182,0.45538453684050084,exploratory_tier2_outside_frozen_family,0.0194433665272827,0.010667374346332853,0.028027759684730796,0.007731174860393367,0.023240000000000004,0.011119,0.03491999999999999,10000,20260812,5000,5
hard_interference_sir_minus15,a5_vimd_full,a5_vimd_full,0.3534232902765385,0.38443168983173914,exploratory_tier2_outside_frozen_family,0.031008399555200662,0.008145016752711632,0.053162919810270534,0.022343055687143967,0.035207823960880215,0.009942950285248574,0.05819070904645477,10000,20260812,1227,5
id_test,a5_vimd_full,a5_vimd_full,0.5633190142589516,0.5839846173064581,exploratory_tier2_outside_frozen_family,0.02066560304750644,0.009575868178426141,0.032764452760702834,0.011875117641892778,0.01976,0.008959,0.031239999999999997,10000,20260812,5000,5
unseen_jammer,a5_vimd_full,a5_vimd_full,0.4560540480915664,0.46228659698849334,exploratory_tier2_outside_frozen_family,0.006232548896926848,-0.002150345342892724,0.014866321385824591,0.006790894065350783,0.008599999999999997,0.00108,0.01616,10000,20260812,5000,5
unseen_speed,a5_vimd_full,a5_vimd_full,0.4874598832461679,0.5071404418104779,exploratory_tier2_outside_frozen_family,0.019680558564310013,0.011961443655958918,0.027469764220422674,0.0057906458561084485,0.02071999999999996,0.011479000000000001,0.0308,10000,20260812,5000,5
heldout_channel,a5_vimd_full,a5_vimd_full,0.48755219630644386,0.5098665379880227,exploratory_tier2_outside_frozen_family,0.0223143416815788,0.013347390028812205,0.03198596433285183,0.00861742328879221,0.02368,0.012159,0.03612,10000,20260812,5000,5
combined_ood,a5_vimd_full,a5_vimd_full,0.45014180801381637,0.46216049879784704,exploratory_tier2_outside_frozen_family,0.01201869078403065,0.0032393121479380453,0.020738532039673265,0.007367785287177204,0.014359999999999994,0.006319000000000002,0.0226,10000,20260812,5000,5
adc_10bit_agc,a5_vimd_full,a5_vimd_full,0.44173538269363927,0.46864116630277064,exploratory_tier2_outside_frozen_family,0.026905783609131272,0.012970615001856983,0.04122597027991335,0.01603568953364956,0.03076,0.01484,0.046759999999999996,10000,20260812,5000,5
adc_12bit_agc,a5_vimd_full,a5_vimd_full,0.4409981735404391,0.46331296165011915,exploratory_tier2_outside_frozen_family,0.022314788109680118,0.01232747027677061,0.032548947276778255,0.010036136105568036,0.02679999999999999,0.01456,0.03992,10000,20260812,5000,5
per_emitter_sync,a5_vimd_full,a5_vimd_full,0.4323491108426875,0.4569686636134329,exploratory_tier2_outside_frozen_family,0.0246195527707454,0.011014310508180442,0.036867869455424564,0.01454986827791112,0.02732,0.011439,0.042640999999999984,10000,20260812,5000,5
