split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,iqformer_inspired,a5_vimd_full,0.692976795808763,0.5105678226843319,exploratory_tier2_outside_frozen_family,-0.18240897312443127,-0.19286993801901264,-0.1717826030824677,0.008393211015209777,-0.14387999999999998,-0.15560000000000002,-0.13276,10000,20260812,5000,5
hard_interference,iqformer_inspired,a5_vimd_full,0.4961375159018795,0.45538453684050084,exploratory_tier2_outside_frozen_family,-0.04075297906137856,-0.06225138332169354,-0.020707969241489876,0.02310678218349656,-0.013400000000000013,-0.03852,0.009840999999999987,10000,20260812,5000,5
hard_interference_sir_minus15,iqformer_inspired,a5_vimd_full,0.2622730603562069,0.38443168983173914,exploratory_tier2_outside_frozen_family,0.12215862947553222,0.0616365999007661,0.17582552576978788,0.06794211548770711,0.1453952730236349,0.08753056234718827,0.1965770171149144,10000,20260812,1227,5
id_test,iqformer_inspired,a5_vimd_full,0.6960969835428461,0.5839846173064581,exploratory_tier2_outside_frozen_family,-0.11211236623638805,-0.12741823364698124,-0.09783464327854079,0.01315932380095489,-0.10444000000000002,-0.120201,-0.08956,10000,20260812,5000,5
unseen_jammer,iqformer_inspired,a5_vimd_full,0.6117595994975685,0.46228659698849334,exploratory_tier2_outside_frozen_family,-0.14947300250907522,-0.15969153290617785,-0.1391190590318329,0.0031922898740376422,-0.14432,-0.154801,-0.133839,10000,20260812,5000,5
unseen_speed,iqformer_inspired,a5_vimd_full,0.626240129993161,0.5071404418104779,exploratory_tier2_outside_frozen_family,-0.11909968818268321,-0.13157879841450348,-0.10604054993254544,0.008953840261005498,-0.10432000000000005,-0.11735999999999999,-0.091119,10000,20260812,5000,5
heldout_channel,iqformer_inspired,a5_vimd_full,0.6132592864561504,0.5098665379880227,exploratory_tier2_outside_frozen_family,-0.10339274846812763,-0.11890135819081306,-0.08848737145685258,0.014234511415459972,-0.08988,-0.10604,-0.07508000000000001,10000,20260812,5000,5
combined_ood,iqformer_inspired,a5_vimd_full,0.6214492597311392,0.46216049879784704,exploratory_tier2_outside_frozen_family,-0.15928876093329206,-0.1697488875312604,-0.1484820377515994,0.004371777272381015,-0.15396,-0.16516,-0.14220000000000002,10000,20260812,5000,5
adc_10bit_agc,iqformer_inspired,a5_vimd_full,0.5038172817797947,0.46864116630277064,exploratory_tier2_outside_frozen_family,-0.03517611547702408,-0.05764285247126236,-0.014617623849881845,0.02353229370603739,-0.007520000000000027,-0.032121000000000004,0.014279999999999998,10000,20260812,5000,5
adc_12bit_agc,iqformer_inspired,a5_vimd_full,0.4968494929848841,0.46331296165011915,exploratory_tier2_outside_frozen_family,-0.033536531334764974,-0.054321362403316406,-0.013457187601461454,0.02202911721699688,-0.005079999999999985,-0.028240000000000005,0.016999999999999998,10000,20260812,5000,5
per_emitter_sync,iqformer_inspired,a5_vimd_full,0.4981719896360836,0.4569686636134329,exploratory_tier2_outside_frozen_family,-0.04120332602265061,-0.06445999947894678,-0.021262608653050626,0.024039832934079384,-0.01512,-0.041761000000000006,0.006920999999999986,10000,20260812,5000,5
