split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,mcldnn_reimplementation,a5_vimd_full,0.6414217483505242,0.502048106661427,exploratory_tier2_outside_frozen_family,-0.13937364168909736,-0.14914919358971168,-0.13022781678956338,0.011733987967676397,-0.11052,-0.1189805,-0.10218,10000,20260812,5000,10
hard_interference,mcldnn_reimplementation,a5_vimd_full,0.4598705516793524,0.43755496432815033,exploratory_tier2_outside_frozen_family,-0.02231558735120221,-0.03479616066575375,-0.0098863633180657,0.014245594914541042,-0.0004799999999999971,-0.0120805,0.011400499999999992,10000,20260812,5000,10
hard_interference_sir_minus15,mcldnn_reimplementation,a5_vimd_full,0.264716552011587,0.35484947285655105,exploratory_tier2_outside_frozen_family,0.09013292084496408,0.06550294867426439,0.11574917532037306,0.028920099866958107,0.10423797881010592,0.08019356153219234,0.12860635696821515,10000,20260812,1227,10
id_test,mcldnn_reimplementation,a5_vimd_full,0.6438539081259487,0.5631261868506987,exploratory_tier2_outside_frozen_family,-0.08072772127524995,-0.09453202727672076,-0.06743271783485653,0.0173237766984629,-0.07826,-0.08918000000000001,-0.0676795,10000,20260812,5000,10
unseen_jammer,mcldnn_reimplementation,a5_vimd_full,0.5868434969990959,0.4547816849934785,exploratory_tier2_outside_frozen_family,-0.13206181200561753,-0.14141001563760763,-0.12289929752981442,0.0076277867374405055,-0.12906,-0.1382605,-0.11977950000000001,10000,20260812,5000,10
unseen_speed,mcldnn_reimplementation,a5_vimd_full,0.5851880403496001,0.49098954400052036,exploratory_tier2_outside_frozen_family,-0.09419849634907972,-0.10725007513141532,-0.08103945852153432,0.016029615275007857,-0.08419999999999998,-0.09604,-0.07171999999999999,10000,20260812,5000,10
heldout_channel,mcldnn_reimplementation,a5_vimd_full,0.571142231584521,0.4922930213985083,exploratory_tier2_outside_frozen_family,-0.07884921018601264,-0.09090209148446865,-0.06700314332392285,0.013245597511018265,-0.06996,-0.08102050000000001,-0.05878,10000,20260812,5000,10
combined_ood,mcldnn_reimplementation,a5_vimd_full,0.5908424898263618,0.4493675559725734,exploratory_tier2_outside_frozen_family,-0.14147493385378845,-0.15236367169931686,-0.13023246982428838,0.012134750793583572,-0.13928,-0.1497,-0.12901949999999998,10000,20260812,5000,10
adc_10bit_agc,mcldnn_reimplementation,a5_vimd_full,0.46699841642553397,0.4447665409672067,exploratory_tier2_outside_frozen_family,-0.022231875458327232,-0.03725977449201263,-0.007779059646572601,0.018765001194978564,0.00129999999999999,-0.0124,0.015240499999999995,10000,20260812,5000,10
adc_12bit_agc,mcldnn_reimplementation,a5_vimd_full,0.4654464833366744,0.4413331715754271,exploratory_tier2_outside_frozen_family,-0.024113311761247275,-0.03814665251699,-0.00969309947672919,0.01803419885401173,-0.0003600000000000103,-0.014260499999999999,0.013619999999999998,10000,20260812,5000,10
per_emitter_sync,mcldnn_reimplementation,a5_vimd_full,0.4632524077194128,0.437957459557369,exploratory_tier2_outside_frozen_family,-0.025294948162043713,-0.039109050264251814,-0.012060198162847816,0.016443776096250837,-0.002679999999999988,-0.01542,0.01018,10000,20260812,5000,10
