split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.5005032832098469,0.6181820524828523,exploratory_tier2_outside_frozen_family,0.11767876927300533,0.11059852623264872,0.12488851200853415,0.00493381004001762,0.10174000000000002,0.09412000000000001,0.10973999999999999,10000,20260812,5000,10
hard_interference,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.44059657482386816,0.48429852985594274,exploratory_tier2_outside_frozen_family,0.04370195503207449,0.03442597246996947,0.05313187891475477,0.007112972879158149,0.03342,0.023459999999999998,0.04364,10000,20260812,5000,10
hard_interference_sir_minus15,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.362131338542489,0.378429714889215,exploratory_tier2_outside_frozen_family,0.016298376346726023,-0.0027806572535035937,0.034970853675011355,0.018641742169607723,0.015077424612876944,-0.004237978810105949,0.034229828850855744,10000,20260812,1227,10
id_test,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.5653841419768701,0.6556243634296882,exploratory_tier2_outside_frozen_family,0.09024022145281801,0.08084382970619976,0.09969876290227205,0.005392485843043763,0.08738,0.07813949999999999,0.09668,10000,20260812,5000,10
unseen_jammer,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.45521207401297187,0.5372524039956088,exploratory_tier2_outside_frozen_family,0.082040329982637,0.07236345142450543,0.09176086754907034,0.009554804307748807,0.08556,0.0766,0.09462,10000,20260812,5000,10
unseen_speed,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4924607396171261,0.5722177476787953,exploratory_tier2_outside_frozen_family,0.07975700806166922,0.06987091565057943,0.08954643747485855,0.007890155884665353,0.06776000000000001,0.05766,0.07776000000000001,10000,20260812,5000,10
heldout_channel,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4936207152520199,0.571152194524832,exploratory_tier2_outside_frozen_family,0.07753147927281194,0.0672226766350026,0.08786858529772007,0.009519903616437614,0.06808000000000002,0.0575195,0.078901,10000,20260812,5000,10
combined_ood,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4525068123203459,0.5442136544448977,exploratory_tier2_outside_frozen_family,0.0917068421245518,0.08094369325662833,0.10193254538418388,0.011051809519139423,0.09383999999999997,0.0841,0.10336000000000001,10000,20260812,5000,10
adc_10bit_agc,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4483638229617097,0.4922464815581372,exploratory_tier2_outside_frozen_family,0.04388265859642744,0.0330457011704217,0.054687964220095184,0.011080039528585805,0.035019999999999996,0.023399499999999997,0.046420499999999996,10000,20260812,5000,10
adc_12bit_agc,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4478635265786141,0.49009839625074025,exploratory_tier2_outside_frozen_family,0.04223486967212613,0.03183481300807839,0.052724645011610234,0.01116127241554116,0.03215999999999999,0.020640000000000002,0.04378,10000,20260812,5000,10
per_emitter_sync,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.44172531610443694,0.4892727833993512,exploratory_tier2_outside_frozen_family,0.04754746729491423,0.0359442392350543,0.058965137710069615,0.013642579046893503,0.03702000000000001,0.024639499999999998,0.04934049999999999,10000,20260812,5000,10
