split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.6918904098787153,0.6181820524828523,exploratory_tier2_outside_frozen_family,-0.07370835739586307,-0.08274737051070817,-0.064522564168378,0.011357491712428272,-0.05341999999999998,-0.06148,-0.045359500000000004,10000,20260812,5000,10
hard_interference,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.4872224105487034,0.48429852985594274,exploratory_tier2_outside_frozen_family,-0.0029238806927607552,-0.019505327179234228,0.014570416884480014,0.02478440534607112,0.009159999999999996,-0.007619999999999999,0.026439999999999998,10000,20260812,5000,10
hard_interference_sir_minus15,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.25755077115283287,0.378429714889215,exploratory_tier2_outside_frozen_family,0.12087894373638217,0.08320773921095968,0.15882776091054596,0.05627477386598331,0.13814180929095357,0.10448247758761206,0.17163814180929093,10000,20260812,1227,10
id_test,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.687979999728363,0.6556243634296882,exploratory_tier2_outside_frozen_family,-0.03235563629867481,-0.04592217138253681,-0.018599956546358095,0.018354164946469544,-0.02792,-0.0407205,-0.014740000000000003,10000,20260812,5000,10
unseen_jammer,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.6067114920091541,0.5372524039956088,exploratory_tier2_outside_frozen_family,-0.06945908801354528,-0.07917770894863646,-0.05960348082983454,0.010002521060200557,-0.06278000000000002,-0.07164050000000001,-0.053819500000000006,10000,20260812,5000,10
unseen_speed,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.6187340021223643,0.5722177476787953,exploratory_tier2_outside_frozen_family,-0.04651625444356897,-0.05878152341813365,-0.03367091134869571,0.016288808594426156,-0.04623999999999999,-0.057579999999999985,-0.03465950000000001,10000,20260812,5000,10
heldout_channel,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.606067823876187,0.571152194524832,exploratory_tier2_outside_frozen_family,-0.03491562935135508,-0.047180002725593743,-0.02245521934086514,0.0169874262972629,-0.03426,-0.045559999999999996,-0.022759000000000015,10000,20260812,5000,10
combined_ood,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.6145430702752079,0.5442136544448977,exploratory_tier2_outside_frozen_family,-0.07032941583031017,-0.08136299488092645,-0.058765205168771234,0.013811224702983684,-0.06566000000000002,-0.075961,-0.054979999999999994,10000,20260812,5000,10
adc_10bit_agc,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.49316282114308374,0.4922464815581372,exploratory_tier2_outside_frozen_family,-0.0009163395849465961,-0.01579196436693592,0.014852081981992744,0.021945194583683575,0.012179999999999991,-0.0029000000000000007,0.027880499999999992,10000,20260812,5000,10
adc_12bit_agc,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.4890689605608656,0.49009839625074025,exploratory_tier2_outside_frozen_family,0.0010294356898746249,-0.0157693135851716,0.01790985775525529,0.024680394867651008,0.014679999999999999,-0.0020014999999999994,0.03170049999999999,10000,20260812,5000,10
per_emitter_sync,iqformer_inspired,tier2_h2_f2_iq_sidecar,0.4897404687174435,0.4892727833993512,exploratory_tier2_outside_frozen_family,-0.00046768531809224245,-0.01564081234492626,0.015318354362525684,0.021981418800441497,0.011000000000000005,-0.004260500000000001,0.026560999999999987,10000,20260812,5000,10
