split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a5_vimd_full,a5_vimd_full,0.5065754041637058,0.3331168135399773,exploratory_tier2_outside_frozen_family,-0.17345859062372854,-0.18400240118862154,-0.1622974410885967,,-0.1622,-0.17261,-0.153695,100,20260812,5000,1
hard_interference,a5_vimd_full,a5_vimd_full,0.4432764928427386,0.25716107764736884,exploratory_tier2_outside_frozen_family,-0.18611541519536978,-0.19644510720995773,-0.176322233394351,,-0.17679999999999996,-0.18842,-0.165885,100,20260812,5000,1
hard_interference_sir_minus15,a5_vimd_full,a5_vimd_full,0.34908470559540766,0.18835116671978316,exploratory_tier2_outside_frozen_family,-0.1607335388756245,-0.1832175365476226,-0.13495847381484458,,-0.1515892420537897,-0.18019559902200488,-0.12508149959250203,100,20260812,1227,1
id_test,a5_vimd_full,a5_vimd_full,0.5710233516842088,0.32856550221221337,exploratory_tier2_outside_frozen_family,-0.24245784947199545,-0.25451550614547147,-0.2275962058420588,,-0.18719999999999998,-0.20001,-0.172885,100,20260812,5000,1
unseen_jammer,a5_vimd_full,a5_vimd_full,0.4572438557772783,0.30248720753527836,exploratory_tier2_outside_frozen_family,-0.15475664824199992,-0.16774632914858661,-0.1430601664966411,,-0.12459999999999999,-0.13722,-0.11229499999999999,100,20260812,5000,1
unseen_speed,a5_vimd_full,a5_vimd_full,0.4908560866497124,0.29955541823558124,exploratory_tier2_outside_frozen_family,-0.19130066841413118,-0.20130463593144365,-0.18004498466280752,,-0.16140000000000004,-0.17403,-0.14959,100,20260812,5000,1
heldout_channel,a5_vimd_full,a5_vimd_full,0.4925799269096604,0.29995844508734454,exploratory_tier2_outside_frozen_family,-0.19262148182231587,-0.20269114515118605,-0.18075868649234456,,-0.16519999999999996,-0.17764000000000002,-0.152295,100,20260812,5000,1
combined_ood,a5_vimd_full,a5_vimd_full,0.44306544536439973,0.29892976482444117,exploratory_tier2_outside_frozen_family,-0.14413568053995857,-0.15700014706393436,-0.1332198615900437,,-0.1164,-0.12770499999999999,-0.104685,100,20260812,5000,1
adc_10bit_agc,a5_vimd_full,a5_vimd_full,0.4348607254014986,0.26350085202238,exploratory_tier2_outside_frozen_family,-0.17135987337911862,-0.18164425683233923,-0.16161827720841299,,-0.1648,-0.177515,-0.15135,100,20260812,5000,1
adc_12bit_agc,a5_vimd_full,a5_vimd_full,0.4440304430592599,0.2584142146104181,exploratory_tier2_outside_frozen_family,-0.18561622844884185,-0.19649966184042447,-0.17311478782004988,,-0.1724,-0.184155,-0.15739,100,20260812,5000,1
per_emitter_sync,a5_vimd_full,a5_vimd_full,0.4331196096980629,0.24986099243466375,exploratory_tier2_outside_frozen_family,-0.18325861726339915,-0.19298524018896893,-0.1715818220706606,,-0.1748,-0.186,-0.1634,100,20260812,5000,1
