model,model_short,model_family,modulation,training_condition_coverage,discriminability_type,jammed_f1,clean_f1,transfer_gap,transfer_failed
a0_backbone,A0,compact_spectral_A0_A7,BPSK,jammed_only,envelope_distinctive,0.5318083180700575,0.7993325675916308,0.2675242495215734,False
a0_backbone,A0,compact_spectral_A0_A7,PI2BPSK,jammed_and_clean,envelope_distinctive,0.6617191506056932,0.7464264698164507,0.08470731921075747,False
a0_backbone,A0,compact_spectral_A0_A7,QPSK,jammed_only,constellation_order,0.2691487979494257,0.004309375960841183,-0.2648394219885845,True
a0_backbone,A0,compact_spectral_A0_A7,8PSK,jammed_and_clean,constellation_order,0.03043124800065432,0.3438771496164358,0.31344590161578145,False
a0_backbone,A0,compact_spectral_A0_A7,16QAM,jammed_only,constellation_order,0.1483474228939749,0.0015857673841124652,-0.14676165550986245,True
a0_backbone,A0,compact_spectral_A0_A7,64QAM,jammed_only,constellation_order,0.24291451089810207,0.005429867220689205,-0.23748464367741287,True
a0_backbone,A0,compact_spectral_A0_A7,256QAM,jammed_and_clean,constellation_order,0.04238308767468617,0.32099500849258583,0.27861192081789965,False
a0_backbone,A0,compact_spectral_A0_A7,GMSK,jammed_only,envelope_distinctive,0.8002679842533468,0.9303755521983689,0.1301075679450221,False
a0_backbone,A0,compact_spectral_A0_A7,CPFSK,jammed_and_clean,envelope_distinctive,0.6493770771619156,0.7728016097391766,0.12342453257726094,False
a0_backbone,A0,compact_spectral_A0_A7,4FSK,jammed_only,envelope_distinctive,0.5724618740786191,0.780302127327938,0.20784025324931887,False
a1_single_mask,a1_single_mask,compact_spectral_A0_A7,BPSK,jammed_only,envelope_distinctive,0.5942720599146143,0.8333923004717366,0.23912024055712233,False
a1_single_mask,a1_single_mask,compact_spectral_A0_A7,PI2BPSK,jammed_and_clean,envelope_distinctive,0.7277614847903728,0.7992249355799956,0.0714634507896228,False
a1_single_mask,a1_single_mask,compact_spectral_A0_A7,QPSK,jammed_only,constellation_order,0.2880086840007067,0.009711426013979597,-0.2782972579867271,True
a1_single_mask,a1_single_mask,compact_spectral_A0_A7,8PSK,jammed_and_clean,constellation_order,0.02891676122844349,0.39688776541874804,0.36797100419030454,False
a1_single_mask,a1_single_mask,compact_spectral_A0_A7,16QAM,jammed_only,constellation_order,0.18103164940316638,0.0035427627381567975,-0.1774888866650096,True
a1_single_mask,a1_single_mask,compact_spectral_A0_A7,64QAM,jammed_only,constellation_order,0.2622733365544668,0.005826894825093378,-0.2564464417293734,True
a1_single_mask,a1_single_mask,compact_spectral_A0_A7,256QAM,jammed_and_clean,constellation_order,0.04184244620631293,0.3636218181037471,0.32177937189743416,False
a1_single_mask,a1_single_mask,compact_spectral_A0_A7,GMSK,jammed_only,envelope_distinctive,0.8365949071298886,0.9346481901476202,0.09805328301773164,False
