reference_short,sir_db,break_even_occupancy,attainable
IQFormer,-15.0,0.5800294685871284,True
IQFormer,-10.0,0.872593480910883,True
IQFormer,-5.0,1.1651574932346376,False
IQFormer,0.0,1.457721505558392,False
IQFormer,5.0,1.7502855178821466,False
MCLDNN,-15.0,0.48226816356294433,True
MCLDNN,-10.0,0.6630943870221722,True
MCLDNN,-5.0,0.8439206104814,True
MCLDNN,0.0,1.0247468339406278,False
MCLDNN,5.0,1.2055730573998558,False
CSSL,-15.0,-0.007166093691564636,False
CSSL,-10.0,0.11241752666874591,True
CSSL,-5.0,0.2320011470290565,True
CSSL,0.0,0.3515847673893671,True
CSSL,5.0,0.4711683877496777,True
A0,-15.0,-1.8664582545067188,False
A0,-10.0,-1.697502097200149,False
A0,-5.0,-1.5285459398935795,False
A0,0.0,-1.35958978258701,False
A0,5.0,-1.1906336252804404,False
