scope,contrast,mean_diff_pp,ci95_low_pp,ci95_high_pp,positive_seeds,per_seed_signs
s5_severe_r1,sidecar_vs_A5,4.217048015197458,2.7735011641132865,5.738499198489767,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
s5_severe_r1,sidecar_vs_IQFormer,1.5266300557909627,-0.826028285625629,4.106207430530877,6,"[1, -1, 1, 1, 1, 1, -1, 1, -1, -1]"
s5_severe_r1,sidecar_vs_MCLDNN,-8.633077646930678,-10.403447145603755,-6.6484967283135425,0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
s5_severe_r1_window_level_audit,sidecar_vs_A5,4.217048015197458,2.7104211412634203,5.848497744583118,10,-
s5_severe_r1_window_level_audit,sidecar_vs_IQFormer,1.5266300557909627,-0.7605986385536824,4.200322667671846,6,-
s5_severe_r1_window_level_audit,sidecar_vs_MCLDNN,-8.633077646930678,-10.582509475729845,-6.588326464265215,0,-
s5_severe_r2,sidecar_vs_A5,4.52389117048918,3.1218479661802543,6.065706433396785,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
s5_severe_r2,sidecar_vs_IQFormer,2.0605175240726905,-0.09943730303527158,4.503921185231853,7,"[1, -1, 1, 1, 1, 1, 1, 1, -1, -1]"
s5_severe_r2,sidecar_vs_MCLDNN,-8.687896810589493,-10.52949179849005,-6.815539694890021,0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
s5_severe_r2_window_level_audit,sidecar_vs_A5,4.52389117048918,3.0221096133671974,6.1816959046574365,10,-
s5_severe_r2_window_level_audit,sidecar_vs_IQFormer,2.0605175240726905,-0.11685855984545665,4.6737421969468675,7,-
s5_severe_r2_window_level_audit,sidecar_vs_MCLDNN,-8.687896810589493,-10.658461074991814,-6.762383992452656,0,-
pooled,sidecar_vs_A5,4.370469592843318,2.9621562813776503,5.901927637969457,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
pooled,sidecar_vs_IQFormer,1.7935737899318263,-0.43169508710880766,4.307104010105918,7,"[1, -1, 1, 1, 1, 1, 1, 1, -1, -1]"
pooled,sidecar_vs_MCLDNN,-8.660487228760084,-10.449920021457405,-6.763023876383517,0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
