scope,class,focus,sidecar_f1,a5_f1,delta_pp
s5_severe_r1,BPSK,True,0.3244733210049972,0.2102204192511906,11.425290175380661
s5_severe_r1,PI2BPSK,False,0.354056937473643,0.3531748690655466,0.08820684080962982
s5_severe_r1,QPSK,True,0.1825900919519746,0.11293109398242915,6.965899796954546
s5_severe_r1,8PSK,False,0.07329579442444589,0.0009287970278495109,7.236699739659638
s5_severe_r1,16QAM,True,0.13383317932789365,0.11263116405263038,2.1202015275263273
s5_severe_r1,64QAM,True,0.20676526965721628,0.20854455976272707,-0.17792901055107835
s5_severe_r1,256QAM,False,0.007065217391304347,0.006538133438612759,0.05270839526915882
s5_severe_r1,GMSK,True,0.5329042979345773,0.4842029418348206,4.870135609975672
s5_severe_r1,CPFSK,False,0.33381645581049946,0.2762755443870826,5.75409114234168
s5_severe_r1,4FSK,True,0.38552421586826446,0.3471724565221813,3.8351759346083196
s5_severe_r2,BPSK,True,0.32405043011407725,0.21032016117137237,11.373026894270485
s5_severe_r2,PI2BPSK,False,0.3762479877838415,0.34909931144851725,2.7148676335324287
s5_severe_r2,QPSK,True,0.17164610476049952,0.0931777915215525,7.846831323894704
s5_severe_r2,8PSK,False,0.07104492040233121,0.0012412805324015874,6.980363986992963
s5_severe_r2,16QAM,True,0.13855728029656225,0.1085328830979502,3.002439719861206
s5_severe_r2,64QAM,True,0.19069539817622833,0.19839305099808252,-0.7697652821854227
s5_severe_r2,256QAM,False,0.005392773830656898,0.002928007198448689,0.24647666322082087
s5_severe_r2,GMSK,True,0.5358687212783357,0.4892304528134736,4.663826846486215
s5_severe_r2,CPFSK,False,0.311347612109417,0.2513905701534106,5.995704195600643
s5_severe_r2,4FSK,True,0.3583409596133415,0.3264895623811639,3.185139723217762
pooled,BPSK,True,0.3242618755595372,0.21027029021128146,11.399158534825576
pooled,PI2BPSK,False,0.36515246262874224,0.3511370902570319,1.401537237171029
pooled,QPSK,True,0.1771180983562371,0.10305444275199083,7.406365560424626
pooled,8PSK,False,0.07217035741338855,0.0010850387801255492,7.108531863326302
pooled,16QAM,True,0.13619522981222792,0.1105820235752903,2.5613206236937662
pooled,64QAM,True,0.1987303339167223,0.2034688053804048,-0.4738471463682505
pooled,256QAM,False,0.006228995610980623,0.004733070318530723,0.14959252924498992
pooled,GMSK,True,0.5343865096064566,0.4867166973241471,4.766981228230945
pooled,CPFSK,False,0.3225820339599583,0.26383305727024664,5.874897668971163
pooled,4FSK,True,0.37193258774080296,0.33683100945167255,3.510157828913041
