scope,contrast,n_seeds,mean_pp,ci95_low_pp,ci95_high_pp,positive_seeds
s5_severe_r1,M_minus_A5,5,0.9786479228761847,-1.2946683069396263,3.0045535807692416,3
s5_severe_r2,M_minus_A5,5,1.1164779378409795,-1.5294419322886976,3.318614316780116,3
pooled,M_minus_A5,5,1.047562930358582,-1.465770587840508,3.1615839487746786,3
s5_severe_r1,L_minus_A5,5,0.31887900534147917,-2.381158687251466,2.6682637123960076,3
s5_severe_r2,L_minus_A5,5,0.02987836498924201,-2.5934711934477543,2.3497876783108116,3
pooled,L_minus_A5,5,0.1743786851653606,-2.471897288309711,2.50902569535341,3
s5_severe_r1,S_minus_A5,10,4.217048015197458,2.7735011641132865,5.738499198489767,10
s5_severe_r2,S_minus_A5,10,4.52389117048918,3.1218479661802543,6.065706433396785,10
pooled,S_minus_A5,10,4.370469592843318,2.9621562813776503,5.901927637969457,10
s5_severe_r1,sidecar_iq_zero_minus_A5,10,-8.168589388403332,-10.129155853304193,-6.196416781564658,0
s5_severe_r2,sidecar_iq_zero_minus_A5,10,-7.656984218398939,-9.760150770949782,-5.618383174052982,0
pooled,sidecar_iq_zero_minus_A5,10,-7.9127868034011355,-9.927484689764134,-5.9083085834958355,0
s5_severe_r1,sidecar_iq_shuffle_minus_A5,10,-4.518252158577858,-5.688052612163288,-3.325834130950097,0
s5_severe_r2,sidecar_iq_shuffle_minus_A5,10,-4.423674538741583,-5.487000140591122,-3.3762124132447577,0
pooled,sidecar_iq_shuffle_minus_A5,10,-4.47096334865972,-5.579760324707838,-3.3621899138732347,0
s5_severe_r1,sidecar_no_side_head_minus_A5,10,-14.135457429967088,-16.083207324270777,-12.159987279494718,0
s5_severe_r2,sidecar_no_side_head_minus_A5,10,-13.11258444491087,-14.930860977214042,-11.351658615842783,0
pooled,sidecar_no_side_head_minus_A5,10,-13.62402093743898,-15.50448622809193,-11.761355076757068,0
