scope,jammer_family,model,macro_f1,macro_f1_seed_std
pooled,pulse,A5,0.2902631239300255,0.023981303770904936
pooled,pulse,IQFormer,0.37453625463824275,0.057617860590004386
pooled,pulse,MCLDNN,0.5534341815372603,0.03287489682875358
pooled,pulse,sidecar,0.38215904708402726,0.02177852048086194
s5_severe_r1,pulse,A5,0.2933391473318119,0.0257246068240224
s5_severe_r1,pulse,IQFormer,0.3824944322932586,0.06007896388620581
s5_severe_r1,pulse,MCLDNN,0.5549891030849957,0.03254291459479485
s5_severe_r1,pulse,sidecar,0.3875679515678184,0.02245202655636026
s5_severe_r2,pulse,A5,0.2871871005282392,0.022749508884949202
s5_severe_r2,pulse,IQFormer,0.3665780769832268,0.05577810708727038
s5_severe_r2,pulse,MCLDNN,0.5518792599895248,0.03434784411845644
s5_severe_r2,pulse,sidecar,0.37675014260023615,0.022055255850693064
pooled,ofdm_like,A5,0.04601496703663331,0.0099318322774774
pooled,ofdm_like,IQFormer,0.04558443888475666,0.010890803597373891
pooled,ofdm_like,MCLDNN,0.04920529161097701,0.013295153074469008
pooled,ofdm_like,sidecar,0.05736141575341157,0.017050319316028104
s5_severe_r1,ofdm_like,A5,0.04862187930365134,0.01110401701145562
s5_severe_r1,ofdm_like,IQFormer,0.04791297190709673,0.011746940925511925
s5_severe_r1,ofdm_like,MCLDNN,0.05637717043300554,0.014508850147736735
s5_severe_r1,ofdm_like,sidecar,0.056760847135700676,0.016885385343706694
s5_severe_r2,ofdm_like,A5,0.04340805476961529,0.009584344707407972
s5_severe_r2,ofdm_like,IQFormer,0.043255905862416594,0.01027448215246989
s5_severe_r2,ofdm_like,MCLDNN,0.04203341278894848,0.01224088968635614
s5_severe_r2,ofdm_like,sidecar,0.0579619843711225,0.01737061032987462
