split,true_class,predicted_class,a5_count_mean,cssl_count_mean,difference
clean_retention,BPSK,BPSK,394.1,420.8,-26.69999999999999
clean_retention,BPSK,PI2BPSK,16.0,5.8,10.2
clean_retention,BPSK,QPSK,1.8,7.8,-6.0
clean_retention,BPSK,8PSK,51.6,13.8,37.8
clean_retention,BPSK,16QAM,0.3,14.3,-14.0
clean_retention,BPSK,64QAM,0.6,10.6,-10.0
clean_retention,BPSK,256QAM,18.7,13.9,4.799999999999999
clean_retention,BPSK,GMSK,0.2,3.9,-3.6999999999999997
clean_retention,BPSK,CPFSK,10.8,4.4,6.4
clean_retention,BPSK,4FSK,5.9,4.7,1.2000000000000002
clean_retention,PI2BPSK,BPSK,1.1,6.0,-4.9
clean_retention,PI2BPSK,PI2BPSK,449.9,396.4,53.5
clean_retention,PI2BPSK,QPSK,0.8,12.7,-11.899999999999999
clean_retention,PI2BPSK,8PSK,20.9,15.7,5.199999999999999
clean_retention,PI2BPSK,16QAM,0.3,13.5,-13.2
clean_retention,PI2BPSK,64QAM,0.7,14.8,-14.100000000000001
clean_retention,PI2BPSK,256QAM,14.7,14.2,0.5
clean_retention,PI2BPSK,GMSK,0.0,3.1,-3.1
clean_retention,PI2BPSK,CPFSK,11.4,14.8,-3.4000000000000004
clean_retention,PI2BPSK,4FSK,0.2,8.8,-8.600000000000001
clean_retention,QPSK,BPSK,10.1,13.5,-3.4000000000000004
clean_retention,QPSK,PI2BPSK,29.0,16.5,12.5
clean_retention,QPSK,QPSK,1.8,294.1,-292.3
clean_retention,QPSK,8PSK,326.8,61.0,265.8
clean_retention,QPSK,16QAM,0.8,31.4,-30.599999999999998
clean_retention,QPSK,64QAM,0.5,26.0,-25.5
clean_retention,QPSK,256QAM,112.6,30.3,82.3
clean_retention,QPSK,GMSK,1.7,7.4,-5.7
clean_retention,QPSK,CPFSK,12.8,9.4,3.4000000000000004
clean_retention,QPSK,4FSK,3.9,10.4,-6.5
clean_retention,8PSK,BPSK,8.0,14.9,-6.9
clean_retention,8PSK,PI2BPSK,24.2,10.5,13.7
clean_retention,8PSK,QPSK,3.5,31.1,-27.6
clean_retention,8PSK,8PSK,342.2,339.7,2.5
clean_retention,8PSK,16QAM,1.0,22.3,-21.3
clean_retention,8PSK,64QAM,1.6,29.9,-28.299999999999997
clean_retention,8PSK,256QAM,109.4,28.1,81.30000000000001
clean_retention,8PSK,GMSK,0.0,5.4,-5.4
clean_retention,8PSK,CPFSK,7.2,8.1,-0.8999999999999995
clean_retention,8PSK,4FSK,2.9,10.0,-7.1
clean_retention,16QAM,BPSK,7.3,19.3,-12.0
clean_retention,16QAM,PI2BPSK,28.8,15.6,13.200000000000001
clean_retention,16QAM,QPSK,2.7,37.6,-34.9
clean_retention,16QAM,8PSK,146.6,40.9,105.69999999999999
clean_retention,16QAM,16QAM,2.7,89.2,-86.5
clean_retention,16QAM,64QAM,2.7,80.2,-77.5
clean_retention,16QAM,256QAM,289.3,180.1,109.20000000000002
clean_retention,16QAM,GMSK,0.4,8.9,-8.5
clean_retention,16QAM,CPFSK,13.0,14.8,-1.8000000000000007
clean_retention,16QAM,4FSK,6.5,13.4,-6.9
clean_retention,64QAM,BPSK,6.0,17.9,-11.899999999999999
clean_retention,64QAM,PI2BPSK,36.3,16.1,20.199999999999996
clean_retention,64QAM,QPSK,3.5,28.6,-25.1
clean_retention,64QAM,8PSK,129.2,37.4,91.79999999999998
clean_retention,64QAM,16QAM,1.4,82.0,-80.6
clean_retention,64QAM,64QAM,2.0,93.1,-91.1
clean_retention,64QAM,256QAM,299.8,194.0,105.80000000000001
