split,model,model_short,class_index,modulation,support,f1_mean,f1_std,recall_mean,recall_std
clean_retention,a0_backbone,A0,0,BPSK,500,0.7993325675916308,0.006385694637559448,0.7512,0.019532309415712
clean_retention,a0_backbone,A0,1,PI2BPSK,500,0.7464264698164506,0.023486480874917996,0.8834,0.01087504789261486
clean_retention,a0_backbone,A0,2,QPSK,500,0.004309375960841183,0.005044030642379069,0.0021999999999999997,0.002573367875415838
clean_retention,a0_backbone,A0,3,8PSK,500,0.3438771496164358,0.020819748494629125,0.6095999999999999,0.0488517030295658
clean_retention,a0_backbone,A0,4,16QAM,500,0.0015857673841124652,0.003343142489705945,0.0008,0.0016865480854231357
clean_retention,a0_backbone,A0,5,64QAM,500,0.005429867220689205,0.0057711253199836275,0.0028000000000000004,0.003011090610836324
clean_retention,a0_backbone,A0,6,256QAM,500,0.3209950084925858,0.014101057406584962,0.48739999999999994,0.024998666631109213
clean_retention,a0_backbone,A0,7,GMSK,500,0.9303755521983689,0.00519037656713576,0.9322000000000001,0.011173381065928235
clean_retention,a0_backbone,A0,8,CPFSK,500,0.7728016097391764,0.016307719317042762,0.9046000000000001,0.012650867339611332
clean_retention,a0_backbone,A0,9,4FSK,500,0.780302127327938,0.014025692099000476,0.6930000000000001,0.028538473057338636
clean_retention,a5_vimd_full,A5-VIMD,0,BPSK,500,0.8428122769136767,0.010671865291052364,0.7882,0.016450599448719877
clean_retention,a5_vimd_full,A5-VIMD,1,PI2BPSK,500,0.7913256134831799,0.013699746932432779,0.8997999999999999,0.008350648677398268
clean_retention,a5_vimd_full,A5-VIMD,2,QPSK,500,0.006788551223914779,0.007249122560025867,0.0036000000000000003,0.003977715704047012
clean_retention,a5_vimd_full,A5-VIMD,3,8PSK,500,0.4136455599202319,0.017543961982079522,0.6844,0.0715529330092221
clean_retention,a5_vimd_full,A5-VIMD,4,16QAM,500,0.010514281985473545,0.009026329650209358,0.0054,0.004718756898449704
clean_retention,a5_vimd_full,A5-VIMD,5,64QAM,500,0.007774388308153616,0.0065752760862999755,0.004000000000000001,0.00339934634239519
clean_retention,a5_vimd_full,A5-VIMD,6,256QAM,500,0.37448593948055076,0.017452511193446,0.6214000000000001,0.05091212472922778
clean_retention,a5_vimd_full,A5-VIMD,7,GMSK,500,0.9360260758323067,0.005471435435913288,0.9403999999999998,0.008630694577430502
clean_retention,a5_vimd_full,A5-VIMD,8,CPFSK,500,0.8012874359379996,0.01189615826384703,0.914,0.01481740718059526
clean_retention,a5_vimd_full,A5-VIMD,9,4FSK,500,0.8203727090129824,0.008960347175026029,0.7612,0.024371203408029663
clean_retention,cssl_amc_supervised_adaptation,CSSL,0,BPSK,500,0.8193045873591146,0.025250829883652636,0.8416,0.009323804659758456
clean_retention,cssl_amc_supervised_adaptation,CSSL,1,PI2BPSK,500,0.7969261518847329,0.020250316802119542,0.7928000000000001,0.017440693156459627
clean_retention,cssl_amc_supervised_adaptation,CSSL,2,QPSK,500,0.6106691914485314,0.01951624095565237,0.5882,0.010390166291044419
clean_retention,cssl_amc_supervised_adaptation,CSSL,3,8PSK,500,0.6376064840385183,0.008931702138179672,0.6794,0.014758801517136183
clean_retention,cssl_amc_supervised_adaptation,CSSL,4,16QAM,500,0.20488683024913765,0.01568030259370367,0.17839999999999998,0.015399855699179633
clean_retention,cssl_amc_supervised_adaptation,CSSL,5,64QAM,500,0.2130133470595506,0.02220971293103209,0.18619999999999998,0.02363519033606927
clean_retention,cssl_amc_supervised_adaptation,CSSL,6,256QAM,500,0.3185290978956441,0.01931193269855606,0.37479999999999997,0.04569658387426545
clean_retention,cssl_amc_supervised_adaptation,CSSL,7,GMSK,500,0.85223616334497,0.01267072129709527,0.8784000000000001,0.012954621654923872
clean_retention,cssl_amc_supervised_adaptation,CSSL,8,CPFSK,500,0.7755466305821149,0.010906027347011637,0.7854,0.022569399145253684
clean_retention,cssl_amc_supervised_adaptation,CSSL,9,4FSK,500,0.7456479547250876,0.015359265172416155,0.7348,0.016005554591384148
clean_retention,mcldnn_reimplementation,MCLDNN,0,BPSK,500,0.9017517000305773,0.03350121179313401,0.9134,0.02612874109311642
