model,model_short,collapsed_class_count,collapsed_classes,mean_f1_qpsk_16qam_64qam,macro_f1_mean
a0_backbone,A0,3,"QPSK,16QAM,64QAM",0.003775003521880951,0.47054354953482286
a1_single_mask,a1_single_mask,3,"QPSK,16QAM,64QAM",0.006360361192409924,0.4964157792946743
a2_tri_no_teacher,a2_tri_no_teacher,3,"QPSK,16QAM,64QAM",0.006531197002655108,0.50012430779867
a3_tri_teacher,A3,3,"QPSK,16QAM,64QAM",0.006521281792528702,0.499045985499911
a3p_tri_proportional_teacher,A3p,3,"QPSK,16QAM,64QAM",0.006380090163496191,0.4994000917975593
a4_tri_teacher_mtl,a4_tri_teacher_mtl,3,"QPSK,16QAM,64QAM",0.006223256860344831,0.5003110607641993
a5_vimd_full,A5-VIMD,3,"QPSK,16QAM,64QAM",0.008359073839180645,0.500503283209847
a6_dual_full,A6,3,"QPSK,16QAM,64QAM",0.010477456974518984,0.4988420053432505
a7_vimd_no_residual,A7,3,"QPSK,16QAM,64QAM",0.008214898311384099,0.5000228365806734
cssl_amc_supervised_adaptation,CSSL,0,,0.34285645625240657,0.5974366438587402
mcldnn_reimplementation,MCLDNN,0,,0.2916493768236648,0.6414217483505242
iqformer_inspired,IQFormer,1,64QAM,0.43876049205983586,0.6918904098787155
