model,model_short,regime,coverage,accuracy_mean,accuracy_std
a0_backbone,A0,hard_interference,0.02,1.0,0.0
a0_backbone,A0,hard_interference,0.04,0.9974999999999999,0.0026352313834736517
a0_backbone,A0,hard_interference,0.06,0.9976666666666667,0.0022498285257018438
a0_backbone,A0,hard_interference,0.08,0.9962499999999999,0.0031732387941099667
a0_backbone,A0,hard_interference,0.1,0.9944,0.0041952353926806105
a0_backbone,A0,hard_interference,0.12000000000000001,0.9911666666666668,0.005668300418082119
a0_backbone,A0,hard_interference,0.13999999999999999,0.9881428571428572,0.005473084005026512
a0_backbone,A0,hard_interference,0.16,0.9838749999999999,0.004185374667949221
a0_backbone,A0,hard_interference,0.18,0.9798888888888889,0.00448897445218539
a0_backbone,A0,hard_interference,0.19999999999999998,0.9724999999999999,0.00620483682299544
a0_backbone,A0,hard_interference,0.22,0.9625454545454545,0.007888106377466163
a0_backbone,A0,hard_interference,0.24,0.9471666666666667,0.010047725619435309
a0_backbone,A0,hard_interference,0.26,0.9302307692307693,0.011850759455463974
a0_backbone,A0,hard_interference,0.28,0.9099285714285713,0.01399485652196171
a0_backbone,A0,hard_interference,0.30000000000000004,0.8872666666666665,0.015677143856779915
a0_backbone,A0,hard_interference,0.32,0.8637500000000001,0.01527525231651947
a0_backbone,A0,hard_interference,0.34,0.8405882352941176,0.014901960784313701
a0_backbone,A0,hard_interference,0.36000000000000004,0.8172222222222221,0.015270761576361716
a0_backbone,A0,hard_interference,0.38,0.7928421052631578,0.013612497652381933
a0_backbone,A0,hard_interference,0.4,0.7693000000000001,0.015613740387520506
a0_backbone,A0,hard_interference,0.42000000000000004,0.7461904761904761,0.014878359562476795
a0_backbone,A0,hard_interference,0.44,0.7255,0.014606013453966385
a0_backbone,A0,hard_interference,0.46,0.7054347826086956,0.01392700084932162
a0_backbone,A0,hard_interference,0.48000000000000004,0.6870833333333334,0.013524383557755374
a0_backbone,A0,hard_interference,0.5,0.6697599999999999,0.013575402592761507
