regime,partner,partner_short,a5_accuracy,partner_accuracy,both_correct,only_a5_correct,only_partner_correct,neither_correct,oracle_accuracy,prediction_disagreement,error_correlation_phi
hard_interference,iqformer_inspired,IQFormer,0.47104,0.4953,0.34836,0.12267999999999998,0.14694000000000002,0.38201999999999997,0.61798,0.5358799999999999,0.46201946586822623
hard_interference,mcldnn_reimplementation,MCLDNN,0.47104,0.46876,0.33548,0.13555999999999999,0.13328,0.39568000000000003,0.6043200000000001,0.5527200000000001,0.4604651259356626
hard_interference,cssl_amc_supervised_adaptation,CSSL,0.47104,0.38766,0.27648,0.19456,0.11118000000000001,0.41778000000000004,0.58222,0.6418799999999999,0.38605724725985896
hard_interference,a0_backbone,A0,0.47104,0.42872,0.35932,0.11172,0.06939999999999999,0.45956,0.54044,0.43404,0.6373132649353705
id_test,iqformer_inspired,IQFormer,0.5799,0.6952,0.50448,0.07542,0.19072,0.22938,0.77062,0.41322000000000003,0.4465224501759266
id_test,mcldnn_reimplementation,MCLDNN,0.5799,0.65814,0.48796,0.09194,0.17018,0.24992000000000006,0.75008,0.42311999999999994,0.4540726940745029
id_test,cssl_amc_supervised_adaptation,CSSL,0.5799,0.51544,0.39526,0.18464000000000003,0.12018,0.29991999999999996,0.70008,0.5431600000000001,0.3906687249735875
id_test,a0_backbone,A0,0.5799,0.52662,0.46128,0.11862000000000002,0.06534,0.35476,0.64524,0.35334000000000004,0.6326834654232426
unseen_jammer,iqformer_inspired,IQFormer,0.46742,0.61576,0.4164,0.051019999999999996,0.19936,0.33322,0.66678,0.45596000000000003,0.529952340722461
unseen_jammer,mcldnn_reimplementation,MCLDNN,0.46742,0.59996,0.4121,0.05532,0.18786,0.34472,0.6552800000000001,0.46276,0.5387165372514472
unseen_jammer,cssl_amc_supervised_adaptation,CSSL,0.46742,0.50166,0.35638,0.11104,0.14528,0.38730000000000003,0.6126999999999999,0.55572,0.488655793064837
unseen_jammer,a0_backbone,A0,0.46742,0.43804,0.3714,0.09602000000000001,0.06664,0.46593999999999997,0.53406,0.40852000000000005,0.6733042326001037
combined_ood,iqformer_inspired,IQFormer,0.46422,0.62372,0.41424000000000005,0.049980000000000004,0.20947999999999997,0.3263,0.6737,0.46105999999999997,0.5163024730683143
combined_ood,mcldnn_reimplementation,MCLDNN,0.46422,0.60452,0.4051600000000001,0.05906,0.19936000000000004,0.33642,0.66358,0.4738599999999999,0.5107278580996535
combined_ood,cssl_amc_supervised_adaptation,CSSL,0.46422,0.49766,0.34626,0.11796,0.15139999999999998,0.38438000000000005,0.6156200000000001,0.5642400000000001,0.46221644279214535
combined_ood,a0_backbone,A0,0.46422,0.43338,0.3658199999999999,0.0984,0.06756,0.46821999999999997,0.53178,0.41357999999999995,0.6663558343264379
clean_retention,iqformer_inspired,IQFormer,0.56224,0.7174,0.53376,0.02848,0.18363999999999997,0.25412,0.74588,0.3359,0.584021997428448
clean_retention,mcldnn_reimplementation,MCLDNN,0.56224,0.67648,0.53104,0.0312,0.14543999999999999,0.29232,0.7076800000000001,0.31112,0.6492985715049309
clean_retention,cssl_amc_supervised_adaptation,CSSL,0.56224,0.604,0.46534000000000003,0.0969,0.13866,0.2991,0.7009,0.44776000000000005,0.5182772790773991
clean_retention,a0_backbone,A0,0.56224,0.52672,0.49047999999999997,0.07176,0.03624,0.40152,0.59848,0.25895999999999997,0.7846901515402355
