mechanism_metric,fit_count,spearman_rho,p_value,mean,std,benjamini_hochberg_q
counterfactual_tf_sir_gain_db,50,0.5657142857142857,1.859099355597952e-05,7.890850038855718,0.5023538059070897,0.0005205478195674266
lambda_overlap,50,0.5363265306122449,5.955489228601171e-05,0.09033930477965596,0.07551719406839162,0.000833768492004164
signal_route_weighted_correlation,50,0.48331332533013205,0.0003774667565354354,0.4960507754777686,0.05673634672087401,0.003523023060997397
jammer_route_weighted_correlation,50,0.4553661464585834,0.000891139485504505,0.552842390431628,0.04183477326119301,0.006237976398531535
signal_retention,50,0.35759903961584627,0.010785495317638864,0.23369029661247503,0.0699466916612344,0.04632587856375595
target_energy_transfer_ratio_mean,50,0.35759903961584627,0.010785495317638864,0.23369029661247503,0.0699466916612344,0.04632587856375595
unexplained_fraction_overlap_route_weighted_correlation,50,0.35433373349339736,0.011581469640938988,0.6022800595904872,0.07041117309004491,0.04632587856375595
signal_route_weighted_mae,50,-0.3430972388955582,0.014717885706605803,0.22905563126818992,0.01560935155634956,0.05151259997312031
mask_js,50,-0.32619447779111643,0.020786755996602777,0.0837584414744377,0.006414928216386821,0.06466990754498642
predicted_signal_route_share,50,0.2874909963985594,0.042927954341409856,0.1909723231878653,0.0297534350320627,0.12019827215594761
residual_rho,50,0.27966956173358815,0.04918437641134574,0.04024019104708731,0.020328740170219385,0.12519659450160733
overlap_uncertainty_route_weighted_correlation,50,0.25618247298919566,0.07253177247182026,0.5507162917054659,0.08569652055238958,0.16277400672265288
jammer_leakage,50,0.2535894357743097,0.07557364597837456,0.07415893355774152,0.02273690197276984,0.16277400672265288
target_energy_transfer_ratio_max,50,0.2048019207683073,0.15366259648304972,0.5244420763850212,0.10970763793688512,0.30732519296609945
jammer_route_weighted_mae,50,-0.18809123649459786,0.1908472460705008,0.1525162492830444,0.019960197222863157,0.32619140775962874
mask_temperature,50,0.17128451380552218,0.234304188818314,0.5022743851554394,0.0018669107798556194,0.32619140775962874
signal_jammer_ambiguity_overlap_route_weighted_mae,50,-0.16926770708283315,0.23994145774678133,0.391026313553802,0.03632108655688032,0.32619140775962874
predicted_overlap_uncertainty_route_share,50,-0.1660984393757503,0.24898576972633318,0.39890135575652486,0.042324638150202785,0.32619140775962874
unexplained_fraction_overlap_route_weighted_mae,50,-0.16148859543817526,0.262548485301981,0.17851111056912713,0.03618630823924391,0.32619140775962874
oracle_jammer_route_share,50,-0.15591575895192833,0.2795926352225389,0.37180174462060434,0.010811632726186465,0.32619140775962874
oracle_overlap_uncertainty_route_share,50,0.15591575895192833,0.2795926352225389,0.31584935548064763,0.021623266401975306,0.32619140775962874
oracle_signal_jammer_ambiguity_share,50,0.15591575895192833,0.2795926352225389,0.042811882625616,0.021623266085668287,0.32619140775962874
oracle_signal_route_share,50,-0.15591575895192833,0.2795926352225389,0.3123489058044553,0.010811633058012924,0.32619140775962874
signal_jammer_ambiguity_oracle_occupancy,50,0.15591575895192833,0.2795926352225389,0.042811882625616,0.021623266085668287,0.32619140775962874
overlap_uncertainty_route_weighted_mae,50,-0.13661464585834332,0.34413653070929573,0.17629201538097292,0.032243715583152255,0.3854329143944112
predicted_jammer_route_share,50,-0.057382953181272504,0.6922360572466442,0.4101263205305133,0.025239357693916192,0.7454849847271553
overlap_permutation_null_abs95,50,-0.05085234093637454,0.7258039863695547,0.02795105235868624,0.0003254274433605395,0.752685615494353
oracle_vs_predicted_overlap_spearman,50,0.027899159663865542,0.8474880188601623,0.9050479424762975,0.03029425206627725,0.8474880188601623
