split,class_index,modulation,total,jammer_free,jammed,jammer_free_fraction,accounting_unit
train,0,BPSK,20000,0,20000,0.0,training_view
train,1,PI2BPSK,20000,10000,10000,0.5,training_view
train,2,QPSK,20000,0,20000,0.0,training_view
train,3,8PSK,20000,10000,10000,0.5,training_view
train,4,16QAM,20000,0,20000,0.0,training_view
train,5,64QAM,20000,0,20000,0.0,training_view
train,6,256QAM,20000,10000,10000,0.5,training_view
train,7,GMSK,20000,0,20000,0.0,training_view
train,8,CPFSK,20000,10000,10000,0.5,training_view
train,9,4FSK,20000,0,20000,0.0,training_view
validation,0,BPSK,400,0,400,0.0,training_view
validation,1,PI2BPSK,400,200,200,0.5,training_view
validation,2,QPSK,400,0,400,0.0,training_view
validation,3,8PSK,400,200,200,0.5,training_view
validation,4,16QAM,400,0,400,0.0,training_view
validation,5,64QAM,400,0,400,0.0,training_view
validation,6,256QAM,400,200,200,0.5,training_view
validation,7,GMSK,400,0,400,0.0,training_view
validation,8,CPFSK,400,200,200,0.5,training_view
validation,9,4FSK,400,0,400,0.0,training_view
id_test,0,BPSK,1000,0,1000,0.0,training_view
id_test,1,PI2BPSK,1000,500,500,0.5,training_view
id_test,2,QPSK,1000,0,1000,0.0,training_view
id_test,3,8PSK,1000,500,500,0.5,training_view
id_test,4,16QAM,1000,0,1000,0.0,training_view
id_test,5,64QAM,1000,0,1000,0.0,training_view
id_test,6,256QAM,1000,500,500,0.5,training_view
id_test,7,GMSK,1000,0,1000,0.0,training_view
id_test,8,CPFSK,1000,500,500,0.5,training_view
id_test,9,4FSK,1000,0,1000,0.0,training_view
clean_retention,0,BPSK,1000,1000,0,1.0,training_view
clean_retention,1,PI2BPSK,1000,1000,0,1.0,training_view
clean_retention,2,QPSK,1000,1000,0,1.0,training_view
clean_retention,3,8PSK,1000,1000,0,1.0,training_view
clean_retention,4,16QAM,1000,1000,0,1.0,training_view
clean_retention,5,64QAM,1000,1000,0,1.0,training_view
clean_retention,6,256QAM,1000,1000,0,1.0,training_view
clean_retention,7,GMSK,1000,1000,0,1.0,training_view
clean_retention,8,CPFSK,1000,1000,0,1.0,training_view
clean_retention,9,4FSK,1000,1000,0,1.0,training_view
hard_interference,0,BPSK,1000,0,1000,0.0,training_view
hard_interference,1,PI2BPSK,1000,0,1000,0.0,training_view
hard_interference,2,QPSK,1000,0,1000,0.0,training_view
hard_interference,3,8PSK,1000,0,1000,0.0,training_view
hard_interference,4,16QAM,1000,0,1000,0.0,training_view
hard_interference,5,64QAM,1000,0,1000,0.0,training_view
hard_interference,6,256QAM,1000,0,1000,0.0,training_view
hard_interference,7,GMSK,1000,0,1000,0.0,training_view
hard_interference,8,CPFSK,1000,0,1000,0.0,training_view
hard_interference,9,4FSK,1000,0,1000,0.0,training_view
unseen_jammer,0,BPSK,1000,0,1000,0.0,training_view
unseen_jammer,1,PI2BPSK,1000,0,1000,0.0,training_view
unseen_jammer,2,QPSK,1000,0,1000,0.0,training_view
unseen_jammer,3,8PSK,1000,0,1000,0.0,training_view
unseen_jammer,4,16QAM,1000,0,1000,0.0,training_view
unseen_jammer,5,64QAM,1000,0,1000,0.0,training_view
unseen_jammer,6,256QAM,1000,0,1000,0.0,training_view
unseen_jammer,7,GMSK,1000,0,1000,0.0,training_view
unseen_jammer,8,CPFSK,1000,0,1000,0.0,training_view
unseen_jammer,9,4FSK,1000,0,1000,0.0,training_view
