split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,mcldnn_reimplementation,a5_vimd_full,0.6425462341122895,0.511565037257023,exploratory_tier2_outside_frozen_family,-0.13098119685526638,-0.14014283155697163,-0.12148878296890568,0.007653321681852598,-0.10024000000000002,-0.10900000000000001,-0.091599,10000,20260812,5000,5
hard_interference,mcldnn_reimplementation,a5_vimd_full,0.45406718427539045,0.46776004487059025,exploratory_tier2_outside_frozen_family,0.013692860595199762,0.000349226015803547,0.02722628685212565,0.011115349011727414,0.03591999999999999,0.02384,0.04804,10000,20260812,5000,5
hard_interference_sir_minus15,mcldnn_reimplementation,a5_vimd_full,0.25537684820476264,0.4030217800924918,exploratory_tier2_outside_frozen_family,0.14764493188772915,0.11806715275684734,0.18078565589679718,0.030839929371960846,0.15941320293398534,0.13088834555827222,0.1900570497147514,10000,20260812,1227,5
id_test,mcldnn_reimplementation,a5_vimd_full,0.6364195271113442,0.5881225933065888,exploratory_tier2_outside_frozen_family,-0.048296933804755485,-0.06219763501040315,-0.03429521138082062,0.012073088235220221,-0.05036,-0.061241000000000004,-0.039439000000000016,10000,20260812,5000,5
unseen_jammer,mcldnn_reimplementation,a5_vimd_full,0.5835965812104388,0.46602720873727277,exploratory_tier2_outside_frozen_family,-0.11756937247316619,-0.13028960078183224,-0.10453851516369846,0.011048163729282568,-0.12104000000000001,-0.13284100000000001,-0.10904,10000,20260812,5000,5
unseen_speed,mcldnn_reimplementation,a5_vimd_full,0.5822728163128186,0.509788183631423,exploratory_tier2_outside_frozen_family,-0.07248463268139564,-0.086556108174975,-0.05814465116187394,0.012697349763568833,-0.061759999999999995,-0.073522,-0.04964,10000,20260812,5000,5
heldout_channel,mcldnn_reimplementation,a5_vimd_full,0.5665309890978572,0.5152801463639995,exploratory_tier2_outside_frozen_family,-0.051250842733857584,-0.06483097477161266,-0.03814650126833333,0.010832392938167791,-0.04175999999999998,-0.054241,-0.02952,10000,20260812,5000,5
combined_ood,mcldnn_reimplementation,a5_vimd_full,0.5865255269245114,0.46524835009001775,exploratory_tier2_outside_frozen_family,-0.12127717683449357,-0.13351731257809052,-0.10842639766811613,0.01006145773946255,-0.12483999999999999,-0.135921,-0.11404,10000,20260812,5000,5
adc_10bit_agc,mcldnn_reimplementation,a5_vimd_full,0.459561430987579,0.4786949866228574,exploratory_tier2_outside_frozen_family,0.01913355563527839,0.006444706348817531,0.03120838892634633,0.007931659041146469,0.042480000000000004,0.027999,0.056479999999999995,10000,20260812,5000,5
adc_12bit_agc,mcldnn_reimplementation,a5_vimd_full,0.46111631754536236,0.47280008217739694,exploratory_tier2_outside_frozen_family,0.011683764632034566,-0.004463992399366417,0.029932187513640938,0.017514354323830573,0.03623999999999998,0.020599000000000003,0.0524,10000,20260812,5000,5
per_emitter_sync,mcldnn_reimplementation,a5_vimd_full,0.4580961891974008,0.46581793194929516,exploratory_tier2_outside_frozen_family,0.0077217427518943005,-0.007292978195072709,0.022583709719182866,0.013811795385119209,0.03036000000000002,0.01584,0.04488099999999999,10000,20260812,5000,5
