split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a5_vimd_full,a5_vimd_full,0.5005032832098469,0.502048106661427,exploratory_tier2_outside_frozen_family,0.0015448234515798964,-0.0031496487552589445,0.006336511626988881,0.00657382413282232,0.0037200000000000124,-0.0022400000000000002,0.009940000000000001,10000,20260812,5000,10
hard_interference,a5_vimd_full,a5_vimd_full,0.44059657482386816,0.43755496432815033,exploratory_tier2_outside_frozen_family,-0.0030416104957179226,-0.0091465044028182,0.0026626051466382937,0.006921235051762342,-0.002759999999999996,-0.008979999999999998,0.0031999999999999993,10000,20260812,5000,10
hard_interference_sir_minus15,a5_vimd_full,a5_vimd_full,0.362131338542489,0.35484947285655105,exploratory_tier2_outside_frozen_family,-0.00728186568593796,-0.02292741682588871,0.006406916808615112,0.01949227839087034,-0.005704971475142628,-0.022167889160554198,0.008964955175224124,10000,20260812,1227,10
id_test,a5_vimd_full,a5_vimd_full,0.5653841419768701,0.5631261868506987,exploratory_tier2_outside_frozen_family,-0.0022579551261714182,-0.008930532958046472,0.004332674419094202,0.008319842313176243,-2.00000000000089e-05,-0.006559999999999999,0.006660499999999994,10000,20260812,5000,10
unseen_jammer,a5_vimd_full,a5_vimd_full,0.45521207401297187,0.4547816849934785,exploratory_tier2_outside_frozen_family,-0.00043038901949330464,-0.006776076560357932,0.006043098268191421,0.00789169049285547,0.0034800000000000052,-0.0013999999999999998,0.008499999999999999,10000,20260812,5000,10
unseen_speed,a5_vimd_full,a5_vimd_full,0.4924607396171261,0.49098954400052036,exploratory_tier2_outside_frozen_family,-0.0014711956166057639,-0.0069659092825316415,0.004140794750531869,0.00610920751251814,-0.001760000000000006,-0.0071,0.0035199999999999997,10000,20260812,5000,10
heldout_channel,a5_vimd_full,a5_vimd_full,0.4936207152520199,0.4922930213985083,exploratory_tier2_outside_frozen_family,-0.00132769385351158,-0.006464034983442172,0.0038350470331654477,0.004785649757229165,-0.001599999999999996,-0.0064,0.003200499999999993,10000,20260812,5000,10
combined_ood,a5_vimd_full,a5_vimd_full,0.4525068123203459,0.4493675559725734,exploratory_tier2_outside_frozen_family,-0.00313925634777244,-0.009797587619575117,0.0035880469864410965,0.00857643286865558,0.0010199999999999931,-0.0047,0.00688,10000,20260812,5000,10
adc_10bit_agc,a5_vimd_full,a5_vimd_full,0.4483638229617097,0.4447665409672067,exploratory_tier2_outside_frozen_family,-0.0035972819945030376,-0.01008834519024581,0.0028375642946115117,0.008269433936372427,-0.0024000000000000076,-0.00902,0.00404,10000,20260812,5000,10
adc_12bit_agc,a5_vimd_full,a5_vimd_full,0.4478635265786141,0.4413331715754271,exploratory_tier2_outside_frozen_family,-0.0065303550031870165,-0.013104451845790503,-0.0001347158822781902,0.008360225957741208,-0.005880000000000013,-0.0133405,0.0011599999999999998,10000,20260812,5000,10
per_emitter_sync,a5_vimd_full,a5_vimd_full,0.44172531610443694,0.437957459557369,exploratory_tier2_outside_frozen_family,-0.0037678565470679213,-0.010748663280493762,0.002797729839653034,0.009084996330856111,-0.003199999999999997,-0.01086,0.00396,10000,20260812,5000,10
