split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a0_backbone,a5_vimd_full,0.47054354953482297,0.502048106661427,exploratory_tier2_outside_frozen_family,0.03150455712660391,0.0259929959934357,0.03709634533117497,0.0063474418715026015,0.03924000000000001,0.03219949999999999,0.046740000000000004,10000,20260812,5000,10
hard_interference,a0_backbone,a5_vimd_full,0.39488594715864755,0.43755496432815033,exploratory_tier2_outside_frozen_family,0.04266901716950274,0.034104312781062004,0.05154462864738139,0.010300596944848295,0.03956,0.02914,0.05023999999999999,10000,20260812,5000,10
hard_interference_sir_minus15,a0_backbone,a5_vimd_full,0.3193638687434611,0.35484947285655105,exploratory_tier2_outside_frozen_family,0.03548560411308991,0.017835627404644287,0.053499686107674416,0.021372886687408634,0.029095354523227375,0.009372453137734311,0.04873879380603094,10000,20260812,1227,10
id_test,a0_backbone,a5_vimd_full,0.510207486958193,0.5631261868506987,exploratory_tier2_outside_frozen_family,0.05291869989250575,0.043056544823007095,0.06358135679284263,0.01322195147877484,0.05325999999999999,0.043859499999999996,0.0635,10000,20260812,5000,10
unseen_jammer,a0_backbone,a5_vimd_full,0.41951836383338004,0.4547816849934785,exploratory_tier2_outside_frozen_family,0.03526332116009852,0.025115605184675163,0.04691744715534126,0.015401664571206139,0.03286,0.025639999999999996,0.040840499999999995,10000,20260812,5000,10
unseen_speed,a0_backbone,a5_vimd_full,0.4499446813783754,0.49098954400052036,exploratory_tier2_outside_frozen_family,0.041044862622144976,0.032566409669969376,0.049191882302537536,0.009595634602155236,0.03778,0.02926,0.04636,10000,20260812,5000,10
heldout_channel,a0_backbone,a5_vimd_full,0.45740061870277626,0.4922930213985083,exploratory_tier2_outside_frozen_family,0.03489240269573204,0.02618098707186446,0.043827796431621144,0.011130601101452524,0.03164,0.0227195,0.04056,10000,20260812,5000,10
combined_ood,a0_backbone,a5_vimd_full,0.41570988145213184,0.4493675559725734,exploratory_tier2_outside_frozen_family,0.03365767452044154,0.023015078297434245,0.04506880384032065,0.015718289786510128,0.03186000000000001,0.02434,0.03962,10000,20260812,5000,10
adc_10bit_agc,a0_backbone,a5_vimd_full,0.4052077102825584,0.4447665409672067,exploratory_tier2_outside_frozen_family,0.03955883068464826,0.030511968719409303,0.048600408437793806,0.011484283570186733,0.03741999999999999,0.027499500000000003,0.04752,10000,20260812,5000,10
adc_12bit_agc,a0_backbone,a5_vimd_full,0.4004442778961164,0.4413331715754271,exploratory_tier2_outside_frozen_family,0.04088889367931067,0.03205404705210193,0.05011000796213773,0.011535240891801943,0.0372,0.026840000000000003,0.047939999999999997,10000,20260812,5000,10
per_emitter_sync,a0_backbone,a5_vimd_full,0.39938456356843954,0.437957459557369,exploratory_tier2_outside_frozen_family,0.038572895988929545,0.029895288926483295,0.04752554265982045,0.010878370243199443,0.03502000000000001,0.0250995,0.04518,10000,20260812,5000,10
