split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,iqformer_inspired,a5_vimd_full,0.6918904098787153,0.502048106661427,exploratory_tier2_outside_frozen_family,-0.18984230321728848,-0.19892883947069293,-0.1809545223439188,0.007627240181394663,-0.15143999999999996,-0.16118,-0.14196,10000,20260812,5000,10
hard_interference,iqformer_inspired,a5_vimd_full,0.4872224105487034,0.43755496432815033,exploratory_tier2_outside_frozen_family,-0.04966744622055317,-0.06828445131856337,-0.029562889871202345,0.028370827426965155,-0.02702,-0.0467805,-0.006560000000000002,10000,20260812,5000,10
hard_interference_sir_minus15,iqformer_inspired,a5_vimd_full,0.25755077115283287,0.35484947285655105,exploratory_tier2_outside_frozen_family,0.0972987017037182,0.05939401675915321,0.137701518294413,0.05945830782756555,0.11735941320293397,0.08011409942950284,0.15599022004889979,10000,20260812,1227,10
id_test,iqformer_inspired,a5_vimd_full,0.687979999728363,0.5631261868506987,exploratory_tier2_outside_frozen_family,-0.12485381287766426,-0.13970151814533724,-0.10899008313768718,0.020046265389839963,-0.11532000000000002,-0.12996200000000002,-0.09986,10000,20260812,5000,10
unseen_jammer,iqformer_inspired,a5_vimd_full,0.6067114920091541,0.4547816849934785,exploratory_tier2_outside_frozen_family,-0.15192980701567554,-0.1647208152450169,-0.13880465842618808,0.016024911641458993,-0.14486000000000002,-0.1557205,-0.13386,10000,20260812,5000,10
unseen_speed,iqformer_inspired,a5_vimd_full,0.6187340021223643,0.49098954400052036,exploratory_tier2_outside_frozen_family,-0.12774445812184396,-0.14235630472169253,-0.11241201828567783,0.01916336825679273,-0.11576,-0.12890000000000001,-0.10200000000000001,10000,20260812,5000,10
heldout_channel,iqformer_inspired,a5_vimd_full,0.606067823876187,0.4922930213985083,exploratory_tier2_outside_frozen_family,-0.1137748024776786,-0.12852710622225283,-0.09821124888699222,0.02006890522547252,-0.10394,-0.11788049999999999,-0.0892995,10000,20260812,5000,10
combined_ood,iqformer_inspired,a5_vimd_full,0.6145430702752079,0.4493675559725734,exploratory_tier2_outside_frozen_family,-0.1651755143026344,-0.1788195971635355,-0.15148762911948777,0.01731227772785435,-0.15848,-0.17002049999999996,-0.1467995,10000,20260812,5000,10
adc_10bit_agc,iqformer_inspired,a5_vimd_full,0.49316282114308374,0.4447665409672067,exploratory_tier2_outside_frozen_family,-0.04839628017587707,-0.06741001876026098,-0.02790657579677388,0.02897388176647738,-0.025240000000000012,-0.04498,-0.004519500000000009,10000,20260812,5000,10
adc_12bit_agc,iqformer_inspired,a5_vimd_full,0.4890689605608656,0.4413331715754271,exploratory_tier2_outside_frozen_family,-0.047735788985438524,-0.06589308710570392,-0.02783294638370494,0.027750832683163123,-0.023360000000000002,-0.042840500000000004,-0.0024195000000000076,10000,20260812,5000,10
per_emitter_sync,iqformer_inspired,a5_vimd_full,0.4897404687174435,0.437957459557369,exploratory_tier2_outside_frozen_family,-0.05178300916007439,-0.06958007446128116,-0.03244287118760014,0.026935561466770036,-0.029220000000000003,-0.04754,-0.00978,10000,20260812,5000,10
