split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.6414217483505242,0.6181820524828523,exploratory_tier2_outside_frozen_family,-0.02323969586767194,-0.03222727633447232,-0.014450520642941542,0.012461934458792352,-0.0125,-0.01806,-0.007139500000000006,10000,20260812,5000,10
hard_interference,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.4598705516793524,0.48429852985594274,exploratory_tier2_outside_frozen_family,0.024427978176590204,0.013624818350263024,0.034908560181718847,0.01047390847701159,0.035699999999999996,0.0260995,0.04544,10000,20260812,5000,10
hard_interference_sir_minus15,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.264716552011587,0.378429714889215,exploratory_tier2_outside_frozen_family,0.11371316287762807,0.09048892291978916,0.13700692122249122,0.020910210896990508,0.1250203748981255,0.1030154849225754,0.14686226568867153,10000,20260812,1227,10
id_test,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.6438539081259487,0.6556243634296882,exploratory_tier2_outside_frozen_family,0.01177045530373948,0.0008128455156668554,0.022075867254812385,0.012532117533961447,0.009140000000000014,-0.00016049999999999946,0.0184,10000,20260812,5000,10
unseen_jammer,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.5868434969990959,0.5372524039956088,exploratory_tier2_outside_frozen_family,-0.04959109300348722,-0.06044781655213832,-0.03927059307613393,0.012403257232966692,-0.04698,-0.0555205,-0.0386395,10000,20260812,5000,10
unseen_speed,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.5851880403496001,0.5722177476787953,exploratory_tier2_outside_frozen_family,-0.01297029267080474,-0.025078140919431016,-0.0012139693131194887,0.015618827761508584,-0.01467999999999997,-0.02466,-0.00476,10000,20260812,5000,10
heldout_channel,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.571142231584521,0.571152194524832,exploratory_tier2_outside_frozen_family,9.96294031089251e-06,-0.010438728269215033,0.01082377113605152,0.012604047075849499,-0.00027999999999999136,-0.009539999999999998,0.00904,10000,20260812,5000,10
combined_ood,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.5908424898263618,0.5442136544448977,exploratory_tier2_outside_frozen_family,-0.046628835381464194,-0.05889360889933284,-0.03489023908019586,0.015698048213178873,-0.04646,-0.05678,-0.036499500000000004,10000,20260812,5000,10
adc_10bit_agc,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.46699841642553397,0.4922464815581372,exploratory_tier2_outside_frozen_family,0.02524806513260324,0.012851963325021705,0.03763077191330882,0.01511512327319831,0.03871999999999999,0.028040000000000002,0.04970099999999999,10000,20260812,5000,10
adc_12bit_agc,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.4654464833366744,0.49009839625074025,exploratory_tier2_outside_frozen_family,0.02465191291406587,0.013211252336224623,0.03657165199702791,0.013370608375096907,0.03767999999999999,0.026579000000000002,0.04861999999999999,10000,20260812,5000,10
per_emitter_sync,mcldnn_reimplementation,tier2_h2_f2_iq_sidecar,0.4632524077194128,0.4892727833993512,exploratory_tier2_outside_frozen_family,0.026020375679938434,0.013623184021666991,0.03872928258615438,0.015436457553674383,0.03754000000000002,0.026019499999999997,0.04882049999999999,10000,20260812,5000,10
