split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.5005032832098469,0.4975411265143069,exploratory_tier2_outside_frozen_family,-0.002962156695540047,-0.00660105574139929,0.0008150838917188259,0.004356579486735186,-0.002079999999999993,-0.00622,0.0023,10000,20260812,5000,10
hard_interference,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.44059657482386816,0.4387477624372743,exploratory_tier2_outside_frozen_family,-0.0018488123865938676,-0.007207515902591447,0.0035074226031958176,0.0058309943749568155,0.00014000000000000123,-0.0063605,0.00652,10000,20260812,5000,10
hard_interference_sir_minus15,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.362131338542489,0.3616627347344768,exploratory_tier2_outside_frozen_family,-0.00046860380801221904,-0.012430447346038933,0.011251353282215916,0.013403282037346788,0.002363488182559087,-0.011165444172779137,0.01589242053789731,10000,20260812,1227,10
id_test,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.5653841419768701,0.5630983833278571,exploratory_tier2_outside_frozen_family,-0.002285758649012959,-0.007250670402543356,0.002695673739871009,0.0035746491890726938,0.0008399999999999963,-0.00436,0.006080499999999993,10000,20260812,5000,10
unseen_jammer,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.45521207401297187,0.45207955916011705,exploratory_tier2_outside_frozen_family,-0.003132514852854762,-0.01098136666814423,0.005076292047785238,0.011662532348577214,0.0009000000000000064,-0.00448,0.006220000000000001,10000,20260812,5000,10
unseen_speed,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.4924607396171261,0.4889354407077521,exploratory_tier2_outside_frozen_family,-0.003525298909374025,-0.009197572139651018,0.0020093285982486987,0.006230223379751987,-0.0006800000000000139,-0.00596,0.00412,10000,20260812,5000,10
heldout_channel,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.4936207152520199,0.49103763358598024,exploratory_tier2_outside_frozen_family,-0.0025830816660397495,-0.007949131803193147,0.0026611534394414592,0.0056362768457130724,0.0005400000000000072,-0.00426,0.0053,10000,20260812,5000,10
combined_ood,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.4525068123203459,0.4491911938569041,exploratory_tier2_outside_frozen_family,-0.003315618463441722,-0.010988872025759534,0.004120062133035473,0.01057333667060686,0.00019999999999998353,-0.0052205,0.00562,10000,20260812,5000,10
adc_10bit_agc,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.4483638229617097,0.4489565431506103,exploratory_tier2_outside_frozen_family,0.0005927201889006139,-0.005739165689216203,0.007059598869586038,0.008191220413114179,0.004380000000000006,-0.00142,0.010199999999999997,10000,20260812,5000,10
adc_12bit_agc,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.4478635265786141,0.44573826459079846,exploratory_tier2_outside_frozen_family,-0.002125261987815613,-0.007968153450742749,0.004189460355936431,0.0077448417124086994,0.0013399999999999968,-0.00556,0.008800499999999994,10000,20260812,5000,10
per_emitter_sync,a5_vimd_full,diagnostic_vimd_v5_presence_gated,0.44172531610443694,0.4411201505914269,exploratory_tier2_outside_frozen_family,-0.000605165513010053,-0.007070172241066137,0.006085117504069698,0.008632067386790055,0.0028400000000000035,-0.0042005,0.009920000000000002,10000,20260812,5000,10
