split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a5_vimd_full,a5_vimd_full,0.5065754041637058,0.2783948568792539,exploratory_tier2_outside_frozen_family,-0.22818054728445192,-0.24051113789233144,-0.2187425446377442,,-0.2126,-0.2254,-0.20241500000000004,100,20260812,5000,1
hard_interference,a5_vimd_full,a5_vimd_full,0.4432764928427386,0.23431224197010242,exploratory_tier2_outside_frozen_family,-0.2089642508726362,-0.2206557965182049,-0.19717428988411292,,-0.20579999999999998,-0.217725,-0.19346500000000003,100,20260812,5000,1
hard_interference_sir_minus15,a5_vimd_full,a5_vimd_full,0.34908470559540766,0.14762200571409909,exploratory_tier2_outside_frozen_family,-0.20146269988130858,-0.22266081946486824,-0.17191774323542558,,-0.1776691116544417,-0.2050325998370008,-0.1466992665036675,100,20260812,1227,1
id_test,a5_vimd_full,a5_vimd_full,0.5710233516842088,0.29833714942294604,exploratory_tier2_outside_frozen_family,-0.2726862022612628,-0.2873416074279765,-0.26015334687432123,,-0.22099999999999997,-0.23382,-0.20666500000000002,100,20260812,5000,1
unseen_jammer,a5_vimd_full,a5_vimd_full,0.4572438557772783,0.26264003334474284,exploratory_tier2_outside_frozen_family,-0.19460382243253543,-0.20587414704854315,-0.18358880525181528,,-0.1652,-0.17804999999999999,-0.15337,100,20260812,5000,1
unseen_speed,a5_vimd_full,a5_vimd_full,0.4908560866497124,0.27378481233522023,exploratory_tier2_outside_frozen_family,-0.2170712743144922,-0.2294998637733132,-0.20340052837333739,,-0.19260000000000005,-0.204315,-0.17855000000000001,100,20260812,5000,1
heldout_channel,a5_vimd_full,a5_vimd_full,0.4925799269096604,0.2676870695920635,exploratory_tier2_outside_frozen_family,-0.2248928573175969,-0.2376654627116456,-0.211647203631319,,-0.19959999999999994,-0.21262999999999999,-0.1862,100,20260812,5000,1
combined_ood,a5_vimd_full,a5_vimd_full,0.44306544536439973,0.2723676614181693,exploratory_tier2_outside_frozen_family,-0.17069778394623042,-0.18403479203529235,-0.159544254524283,,-0.14280000000000004,-0.15602,-0.1318,100,20260812,5000,1
adc_10bit_agc,a5_vimd_full,a5_vimd_full,0.4348607254014986,0.2349954814122722,exploratory_tier2_outside_frozen_family,-0.19986524398922642,-0.21134665963385288,-0.18874169479460895,,-0.1972,-0.211105,-0.18468500000000002,100,20260812,5000,1
adc_12bit_agc,a5_vimd_full,a5_vimd_full,0.4440304430592599,0.22464063322506966,exploratory_tier2_outside_frozen_family,-0.21938980983419026,-0.23355408157717505,-0.2082825733692402,,-0.2128,-0.227535,-0.200085,100,20260812,5000,1
per_emitter_sync,a5_vimd_full,a5_vimd_full,0.4331196096980629,0.22664594197735416,exploratory_tier2_outside_frozen_family,-0.20647366772070874,-0.2187676382889678,-0.19412739957702144,,-0.2036,-0.216305,-0.189675,100,20260812,5000,1
