split,sealed_model,new_model,sealed_macro_f1,new_macro_f1,evidence_class,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,row_count,algorithm_seed_count
clean_retention,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.5065754041637058,0.4645684421665811,exploratory_tier2_outside_frozen_family,-0.042006961997124725,-0.05152371310057597,-0.035447479687822255,,-0.04159999999999997,-0.0516,-0.033485,100,20260812,5000,1
hard_interference,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4432764928427386,0.30013212723691607,exploratory_tier2_outside_frozen_family,-0.14314436560582255,-0.15498079187731098,-0.1317196596445379,,-0.14239999999999997,-0.15422999999999998,-0.12945500000000001,100,20260812,5000,1
hard_interference_sir_minus15,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.34908470559540766,0.18476358214243832,exploratory_tier2_outside_frozen_family,-0.16432112345296934,-0.18785775768383609,-0.13704730490438005,,-0.1581092094539527,-0.18663406682966585,-0.12834148329258355,100,20260812,1227,1
id_test,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.5710233516842088,0.4216350989217821,exploratory_tier2_outside_frozen_family,-0.14938825276242673,-0.16216948825697763,-0.13796465041462072,,-0.11359999999999998,-0.125105,-0.101885,100,20260812,5000,1
unseen_jammer,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4572438557772783,0.3809441338802958,exploratory_tier2_outside_frozen_family,-0.07629972189698248,-0.08719014081148582,-0.06528845762631107,,-0.05499999999999999,-0.06622,-0.04477000000000001,100,20260812,5000,1
unseen_speed,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4908560866497124,0.37830068310988607,exploratory_tier2_outside_frozen_family,-0.11255540353982635,-0.12341786663037874,-0.09863127426373902,,-0.08880000000000005,-0.10041,-0.07579,100,20260812,5000,1
heldout_channel,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4925799269096604,0.3874550028532294,exploratory_tier2_outside_frozen_family,-0.10512492405643098,-0.11737868298049849,-0.09246251735987647,,-0.08959999999999996,-0.10146,-0.076685,100,20260812,5000,1
combined_ood,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.44306544536439973,0.37999065885462247,exploratory_tier2_outside_frozen_family,-0.06307478650977727,-0.07624247936874462,-0.04887472945443859,,-0.042200000000000015,-0.05586,-0.028790000000000003,100,20260812,5000,1
adc_10bit_agc,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4348607254014986,0.30520066174942206,exploratory_tier2_outside_frozen_family,-0.12966006365207655,-0.13965598688451347,-0.11838499932764746,,-0.131,-0.14091499999999998,-0.11819,100,20260812,5000,1
adc_12bit_agc,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4440304430592599,0.29806713550498576,exploratory_tier2_outside_frozen_family,-0.14596330755427417,-0.15889000459586275,-0.1314982360143884,,-0.1416,-0.153945,-0.125495,100,20260812,5000,1
per_emitter_sync,a5_vimd_full,tier2_h2_f2_iq_sidecar,0.4331196096980629,0.2927024476289992,exploratory_tier2_outside_frozen_family,-0.14041716206906368,-0.15250569777375583,-0.12752487531371515,,-0.14340000000000003,-0.1564,-0.129895,100,20260812,5000,1
